+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.33 | -80.50 | 0.66 |      59     |   73.78    |
|  Gen 2   | 50.22 | -76.97 | 0.61 |      53     |   76.44    |
|  Gen 3   | 53.33 | -83.67 | 0.60 |      62     |   72.44    |
|  Gen 4   | 51.11 | -71.90 | 0.61 |      57     |   74.22    |
|  Gen 5   | 52.89 | -81.60 | 0.59 |      41     |   81.78    |
|  Gen 6   | 52.89 | -79.90 | 0.59 |      52     |   76.44    |
|  Gen 7   | 50.67 | -71.80 | 0.59 |      55     |   75.56    |
|  Gen 8   | 51.11 | -80.67 | 0.58 |      56     |   75.11    |
|  Gen 9   | 51.11 | -77.23 | 0.57 |      50     |   77.33    |
|  Gen 10  | 50.22 | -79.80 | 0.57 |      53     |   76.44    |
|  Gen 11  | 51.11 | -80.70 | 0.56 |      59     |   73.78    |
|  Gen 12  | 49.78 | -77.23 | 0.57 |      48     |   78.67    |
|  Gen 13  | 53.33 | -78.73 | 0.56 |      47     |   79.11    |
|  Gen 14  | 51.56 | -73.80 | 0.57 |      49     |   77.78    |
|  Gen 15  | 50.67 | -77.47 | 0.55 |      59     |   73.78    |
|  Gen 16  | 51.56 | -83.57 | 0.54 |      48     |   78.67    |
|  Gen 17  | 52.44 | -74.47 | 0.55 |      56     |   74.67    |
|  Gen 18  | 50.22 | -65.50 | 0.56 |      49     |   78.22    |
|  Gen 19  | 48.00 | -74.00 | 0.54 |      52     |   76.89    |
|  Gen 20  | 52.00 | -72.80 | 0.54 |      58     |   74.22    |
|  Gen 21  | 48.00 | -79.40 | 0.53 |      55     |   75.11    |
|  Gen 22  | 48.44 | -73.00 | 0.54 |      48     |   78.67    |
|  Gen 23  | 49.78 | -63.80 | 0.55 |      53     |   76.00    |
|  Gen 24  | 51.11 | -85.07 | 0.52 |      56     |   75.11    |
|  Gen 25  | 50.22 | -77.50 | 0.53 |      58     |   74.22    |
|  Gen 26  | 53.33 | -86.50 | 0.52 |      56     |   75.11    |
|  Gen 27  | 49.78 | -75.30 | 0.53 |      62     |   72.00    |
|  Gen 28  | 48.89 | -75.70 | 0.53 |      56     |   75.11    |
|  Gen 29  | 49.78 | -71.33 | 0.53 |      53     |   76.44    |
|  Gen 30  | 46.67 | -70.17 | 0.53 |      44     |   79.56    |
|  Gen 31  | 52.44 | -71.57 | 0.53 |      54     |   75.56    |
|  Gen 32  | 50.22 | -73.63 | 0.52 |      47     |   78.67    |
|  Gen 33  | 52.44 | -82.43 | 0.50 |      54     |   75.56    |
|  Gen 34  | 50.22 | -69.67 | 0.52 |      48     |   78.67    |
|  Gen 35  | 48.00 | -72.80 | 0.52 |      52     |   76.44    |
|  Gen 36  | 50.22 | -87.67 | 0.49 |      56     |   75.11    |
|  Gen 37  | 49.78 | -76.20 | 0.51 |      52     |   76.00    |
|  Gen 38  | 46.67 | -69.67 | 0.52 |      54     |   76.00    |
|  Gen 39  | 45.78 | -71.90 | 0.51 |      46     |   79.56    |
|  Gen 40  | 49.78 | -75.27 | 0.51 |      53     |   76.00    |
|  Gen 41  | 49.33 | -73.20 | 0.51 |      46     |   79.11    |
|  Gen 42  | 50.67 | -72.40 | 0.51 |      46     |   79.11    |
|  Gen 43  | 48.44 | -69.03 | 0.51 |      45     |   79.56    |
|  Gen 44  | 48.89 | -69.90 | 0.51 |      47     |   79.11    |
|  Gen 45  | 48.44 | -69.80 | 0.51 |      50     |   77.33    |
|  Gen 46  | 47.11 | -68.03 | 0.51 |      50     |   77.33    |
|  Gen 47  | 49.78 | -73.50 | 0.50 |      50     |   77.78    |
|  Gen 48  | 50.67 | -79.90 | 0.49 |      60     |   72.89    |
|  Gen 49  | 49.78 | -71.00 | 0.50 |      59     |   73.78    |
|  Gen 50  | 48.89 | -69.53 | 0.51 |      57     |   74.67    |
| Best GC  | 53.33 | -83.67 | 0.60 |      62     |   72.44    |
| Best MFE | 50.22 | -87.67 | 0.49 |      56     |   75.11    |
| Best CAI | 53.33 | -80.50 | 0.66 |      59     |   73.78    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
