+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 49.33 | -80.70 | 0.61 |      53     |   76.44    |
|  Gen 2   | 47.56 | -80.67 | 0.60 |      49     |   78.22    |
|  Gen 3   | 47.56 | -83.20 | 0.58 |      43     |   80.89    |
|  Gen 4   | 48.44 | -73.80 | 0.59 |      51     |   77.33    |
|  Gen 5   | 49.33 | -74.60 | 0.58 |      48     |   77.78    |
|  Gen 6   | 49.78 | -75.43 | 0.58 |      54     |   76.00    |
|  Gen 7   | 48.44 | -76.87 | 0.57 |      53     |   76.00    |
|  Gen 8   | 51.56 | -86.30 | 0.56 |      54     |   75.56    |
|  Gen 9   | 47.56 | -74.10 | 0.58 |      46     |   79.56    |
|  Gen 10  | 49.33 | -84.27 | 0.56 |      45     |   80.00    |
|  Gen 11  | 46.67 | -71.30 | 0.58 |      52     |   76.89    |
|  Gen 12  | 48.89 | -82.00 | 0.56 |      45     |   80.00    |
|  Gen 13  | 48.44 | -83.50 | 0.56 |      47     |   79.11    |
|  Gen 14  | 49.33 | -71.80 | 0.57 |      53     |   76.44    |
|  Gen 15  | 45.33 | -78.10 | 0.56 |      45     |   80.00    |
|  Gen 16  | 47.56 | -72.37 | 0.57 |      52     |   76.89    |
|  Gen 17  | 50.22 | -80.90 | 0.55 |      47     |   78.67    |
|  Gen 18  | 48.89 | -76.17 | 0.55 |      51     |   77.33    |
|  Gen 19  | 49.78 | -77.60 | 0.54 |      43     |   80.89    |
|  Gen 20  | 48.00 | -70.57 | 0.55 |      49     |   78.22    |
|  Gen 21  | 46.67 | -70.70 | 0.55 |      44     |   80.00    |
|  Gen 22  | 48.00 | -75.17 | 0.54 |      43     |   80.44    |
|  Gen 23  | 48.44 | -73.00 | 0.55 |      51     |   77.33    |
|  Gen 24  | 44.89 | -64.00 | 0.56 |      42     |   81.33    |
|  Gen 25  | 46.67 | -74.73 | 0.54 |      53     |   76.44    |
|  Gen 26  | 47.11 | -72.80 | 0.54 |      44     |   80.00    |
|  Gen 27  | 48.00 | -81.70 | 0.53 |      49     |   78.22    |
|  Gen 28  | 45.78 | -78.00 | 0.53 |      47     |   78.67    |
|  Gen 29  | 44.89 | -77.97 | 0.53 |      45     |   80.00    |
|  Gen 30  | 48.89 | -84.23 | 0.52 |      53     |   76.44    |
|  Gen 31  | 48.44 | -79.20 | 0.52 |      49     |   77.33    |
|  Gen 32  | 44.44 | -72.40 | 0.53 |      48     |   78.22    |
|  Gen 33  | 49.78 | -73.13 | 0.53 |      51     |   76.89    |
|  Gen 34  | 46.22 | -68.20 | 0.53 |      51     |   77.33    |
|  Gen 35  | 47.56 | -75.90 | 0.52 |      45     |   79.56    |
|  Gen 36  | 46.22 | -77.07 | 0.52 |      48     |   78.22    |
|  Gen 37  | 48.00 | -72.83 | 0.52 |      45     |   79.56    |
|  Gen 38  | 46.67 | -72.87 | 0.52 |      52     |   76.89    |
|  Gen 39  | 48.00 | -79.10 | 0.51 |      56     |   74.67    |
|  Gen 40  | 47.11 | -69.30 | 0.53 |      45     |   80.00    |
|  Gen 41  | 46.22 | -66.50 | 0.53 |      45     |   80.00    |
|  Gen 42  | 44.89 | -77.10 | 0.51 |      54     |   76.00    |
|  Gen 43  | 48.00 | -71.57 | 0.52 |      50     |   77.78    |
|  Gen 44  | 47.56 | -69.20 | 0.52 |      45     |   80.00    |
|  Gen 45  | 48.00 | -76.20 | 0.51 |      46     |   79.56    |
|  Gen 46  | 45.33 | -71.00 | 0.51 |      44     |   80.44    |
|  Gen 47  | 45.78 | -75.97 | 0.51 |      54     |   76.00    |
|  Gen 48  | 45.78 | -76.63 | 0.50 |      46     |   79.11    |
|  Gen 49  | 46.67 | -77.47 | 0.50 |      43     |   80.44    |
|  Gen 50  | 44.00 | -77.20 | 0.50 |      49     |   77.33    |
| Best GC  | 51.56 | -86.30 | 0.56 |      54     |   75.56    |
| Best MFE | 51.56 | -86.30 | 0.56 |      54     |   75.56    |
| Best CAI | 49.33 | -80.70 | 0.61 |      53     |   76.44    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
