+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 45.86 | -167.63 | 0.45 |      98     |   76.83    |
|  Gen 2   | 46.34 | -166.00 | 0.44 |      96     |   77.30    |
|  Gen 3   | 46.34 | -164.47 | 0.45 |      97     |   76.83    |
|  Gen 4   | 46.10 | -164.40 | 0.44 |      89     |   78.96    |
|  Gen 5   | 47.04 | -162.40 | 0.45 |      92     |   78.01    |
|  Gen 6   | 47.04 | -162.13 | 0.45 |      97     |   77.07    |
|  Gen 7   | 46.57 | -162.23 | 0.46 |     101     |   75.89    |
|  Gen 8   | 47.28 | -161.10 | 0.45 |     100     |   76.36    |
|  Gen 9   | 46.57 | -161.73 | 0.44 |      93     |   78.01    |
|  Gen 10  | 45.15 | -162.47 | 0.44 |     101     |   76.12    |
|  Gen 11  | 46.57 | -160.73 | 0.45 |      94     |   77.07    |
|  Gen 12  | 47.99 | -158.63 | 0.47 |      97     |   76.83    |
|  Gen 13  | 47.28 | -159.33 | 0.45 |      99     |   76.60    |
|  Gen 14  | 46.10 | -160.23 | 0.44 |      96     |   77.30    |
|  Gen 15  | 45.63 | -160.43 | 0.44 |      93     |   78.01    |
|  Gen 16  | 46.10 | -159.63 | 0.44 |      96     |   77.30    |
|  Gen 17  | 45.86 | -159.77 | 0.43 |      97     |   77.07    |
|  Gen 18  | 46.57 | -158.63 | 0.45 |      96     |   77.30    |
|  Gen 19  | 45.63 | -159.47 | 0.45 |      97     |   77.07    |
|  Gen 20  | 45.39 | -159.63 | 0.43 |      97     |   77.07    |
|  Gen 21  | 45.86 | -158.77 | 0.46 |      98     |   76.83    |
|  Gen 22  | 45.63 | -158.97 | 0.43 |      98     |   76.83    |
|  Gen 23  | 46.10 | -158.43 | 0.43 |      96     |   77.30    |
|  Gen 24  | 46.34 | -157.63 | 0.45 |      99     |   76.60    |
|  Gen 25  | 46.34 | -157.43 | 0.44 |      96     |   77.30    |
|  Gen 26  | 46.57 | -157.17 | 0.45 |      91     |   78.49    |
|  Gen 27  | 46.10 | -157.63 | 0.45 |      96     |   77.30    |
|  Gen 28  | 46.57 | -157.13 | 0.45 |      96     |   77.30    |
|  Gen 29  | 45.86 | -157.33 | 0.44 |      93     |   78.01    |
|  Gen 30  | 46.10 | -156.97 | 0.45 |      94     |   77.78    |
|  Gen 31  | 46.57 | -156.20 | 0.43 |      94     |   77.78    |
|  Gen 32  | 45.63 | -156.37 | 0.45 |      93     |   78.01    |
|  Gen 33  | 46.34 | -155.40 | 0.45 |      99     |   76.60    |
|  Gen 34  | 46.10 | -155.43 | 0.43 |      93     |   78.01    |
|  Gen 35  | 46.10 | -155.27 | 0.43 |      97     |   77.07    |
|  Gen 36  | 46.34 | -154.90 | 0.44 |      91     |   78.49    |
|  Gen 37  | 46.57 | -154.63 | 0.44 |      98     |   76.83    |
|  Gen 38  | 46.34 | -154.77 | 0.43 |      98     |   76.83    |
|  Gen 39  | 46.10 | -154.70 | 0.45 |      99     |   76.60    |
|  Gen 40  | 45.63 | -155.17 | 0.45 |      97     |   77.07    |
|  Gen 41  | 45.86 | -154.67 | 0.43 |      99     |   76.36    |
|  Gen 42  | 44.68 | -155.77 | 0.43 |     100     |   76.12    |
|  Gen 43  | 46.34 | -153.77 | 0.44 |      93     |   78.01    |
|  Gen 44  | 45.86 | -154.17 | 0.44 |      94     |   77.78    |
|  Gen 45  | 46.10 | -153.87 | 0.45 |     100     |   75.89    |
|  Gen 46  | 46.57 | -153.27 | 0.45 |      97     |   77.07    |
|  Gen 47  | 45.15 | -154.50 | 0.43 |      98     |   76.60    |
|  Gen 48  | 45.39 | -154.27 | 0.42 |     103     |   75.65    |
|  Gen 49  | 46.57 | -153.03 | 0.45 |      94     |   77.78    |
|  Gen 50  | 46.57 | -152.83 | 0.43 |      98     |   76.60    |
| Best GC  | 47.99 | -158.63 | 0.47 |      97     |   76.83    |
| Best MFE | 45.86 | -167.63 | 0.45 |      98     |   76.83    |
| Best CAI | 47.99 | -158.63 | 0.47 |      97     |   76.83    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
