+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 52.44 | -78.30 | 0.63 |      52     |   76.89    |
|  Gen 2   | 54.22 | -83.10 | 0.61 |      49     |   78.22    |
|  Gen 3   | 52.89 | -73.13 | 0.61 |      54     |   76.00    |
|  Gen 4   | 51.56 | -83.20 | 0.59 |      60     |   73.33    |
|  Gen 5   | 49.78 | -77.90 | 0.59 |      58     |   74.22    |
|  Gen 6   | 49.33 | -77.23 | 0.59 |      47     |   79.11    |
|  Gen 7   | 52.00 | -78.27 | 0.56 |      52     |   76.89    |
|  Gen 8   | 52.44 | -82.53 | 0.55 |      56     |   75.11    |
|  Gen 9   | 51.11 | -79.00 | 0.56 |      54     |   76.00    |
|  Gen 10  | 51.56 | -70.90 | 0.57 |      55     |   75.56    |
|  Gen 11  | 50.22 | -82.30 | 0.55 |      52     |   76.44    |
|  Gen 12  | 50.22 | -71.20 | 0.57 |      55     |   75.56    |
|  Gen 13  | 51.56 | -76.00 | 0.56 |      53     |   76.44    |
|  Gen 14  | 50.67 | -73.07 | 0.56 |      49     |   78.22    |
|  Gen 15  | 50.67 | -75.80 | 0.56 |      49     |   78.22    |
|  Gen 16  | 49.33 | -68.73 | 0.57 |      47     |   79.11    |
|  Gen 17  | 51.11 | -75.07 | 0.55 |      54     |   76.00    |
|  Gen 18  | 48.00 | -80.27 | 0.55 |      49     |   78.22    |
|  Gen 19  | 52.89 | -76.00 | 0.55 |      47     |   79.11    |
|  Gen 20  | 52.89 | -84.63 | 0.53 |      54     |   76.00    |
|  Gen 21  | 51.11 | -75.17 | 0.54 |      53     |   76.44    |
|  Gen 22  | 48.89 | -64.50 | 0.56 |      58     |   73.33    |
|  Gen 23  | 48.89 | -72.47 | 0.54 |      45     |   79.11    |
|  Gen 24  | 52.89 | -73.40 | 0.54 |      54     |   76.00    |
|  Gen 25  | 50.67 | -76.23 | 0.53 |      52     |   76.89    |
|  Gen 26  | 51.56 | -80.07 | 0.53 |      57     |   74.22    |
|  Gen 27  | 50.22 | -73.70 | 0.54 |      56     |   75.11    |
|  Gen 28  | 49.33 | -79.37 | 0.53 |      53     |   76.44    |
|  Gen 29  | 49.33 | -80.30 | 0.52 |      52     |   76.89    |
|  Gen 30  | 48.89 | -77.20 | 0.53 |      54     |   76.00    |
|  Gen 31  | 48.89 | -69.70 | 0.54 |      54     |   75.56    |
|  Gen 32  | 53.33 | -82.80 | 0.52 |      52     |   76.44    |
|  Gen 33  | 52.00 | -82.37 | 0.52 |      46     |   79.11    |
|  Gen 34  | 48.89 | -75.60 | 0.53 |      49     |   78.22    |
|  Gen 35  | 52.00 | -84.90 | 0.51 |      50     |   77.78    |
|  Gen 36  | 49.33 | -73.27 | 0.53 |      50     |   77.78    |
|  Gen 37  | 50.67 | -80.07 | 0.52 |      57     |   73.78    |
|  Gen 38  | 47.11 | -66.70 | 0.53 |      52     |   76.89    |
|  Gen 39  | 51.56 | -74.93 | 0.52 |      49     |   77.33    |
|  Gen 40  | 48.44 | -69.90 | 0.53 |      48     |   78.67    |
|  Gen 41  | 49.78 | -75.63 | 0.52 |      54     |   76.00    |
|  Gen 42  | 48.89 | -73.13 | 0.52 |      56     |   74.67    |
|  Gen 43  | 47.11 | -66.97 | 0.53 |      51     |   76.89    |
|  Gen 44  | 48.44 | -72.10 | 0.52 |      49     |   78.22    |
|  Gen 45  | 48.89 | -74.67 | 0.52 |      36     |   83.56    |
|  Gen 46  | 50.22 | -73.60 | 0.52 |      50     |   77.78    |
|  Gen 47  | 48.44 | -77.10 | 0.51 |      53     |   76.44    |
|  Gen 48  | 51.56 | -80.33 | 0.51 |      55     |   75.11    |
|  Gen 49  | 50.67 | -72.00 | 0.52 |      50     |   77.78    |
|  Gen 50  | 47.11 | -64.00 | 0.53 |      41     |   81.33    |
| Best GC  | 54.22 | -83.10 | 0.61 |      49     |   78.22    |
| Best MFE | 52.00 | -84.90 | 0.51 |      50     |   77.78    |
| Best CAI | 52.44 | -78.30 | 0.63 |      52     |   76.89    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
