+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.78 | -89.77 | 0.56 |      52     |   76.89    |
|  Gen 2   | 50.67 | -86.70 | 0.62 |      46     |   79.11    |
|  Gen 3   | 53.78 | -76.40 | 0.58 |      58     |   74.22    |
|  Gen 4   | 52.89 | -83.83 | 0.51 |      60     |   73.33    |
|  Gen 5   | 51.11 | -85.13 | 0.53 |      48     |   78.67    |
|  Gen 6   | 50.67 | -81.80 | 0.57 |      52     |   76.44    |
|  Gen 7   | 52.00 | -76.70 | 0.57 |      50     |   77.33    |
|  Gen 8   | 52.00 | -81.67 | 0.52 |      55     |   75.56    |
|  Gen 9   | 52.00 | -82.97 | 0.49 |      54     |   76.00    |
|  Gen 10  | 52.00 | -81.20 | 0.51 |      60     |   72.89    |
|  Gen 11  | 51.56 | -75.10 | 0.58 |      58     |   74.22    |
|  Gen 12  | 51.11 | -77.40 | 0.56 |      43     |   80.44    |
|  Gen 13  | 49.33 | -81.47 | 0.55 |      44     |   80.44    |
|  Gen 14  | 49.78 | -79.43 | 0.55 |      53     |   76.44    |
|  Gen 15  | 50.22 | -78.83 | 0.54 |      52     |   76.89    |
|  Gen 16  | 51.56 | -78.07 | 0.51 |      58     |   72.89    |
|  Gen 17  | 52.00 | -76.30 | 0.52 |      51     |   77.33    |
|  Gen 18  | 48.44 | -82.30 | 0.55 |      51     |   76.44    |
|  Gen 19  | 51.11 | -74.90 | 0.55 |      52     |   76.89    |
|  Gen 20  | 50.22 | -76.50 | 0.55 |      48     |   78.67    |
|  Gen 21  | 52.44 | -72.53 | 0.53 |      56     |   74.67    |
|  Gen 22  | 49.78 | -77.67 | 0.55 |      47     |   79.11    |
|  Gen 23  | 50.22 | -73.73 | 0.57 |      54     |   76.00    |
|  Gen 24  | 51.11 | -73.30 | 0.54 |      45     |   79.56    |
|  Gen 25  | 51.11 | -70.80 | 0.57 |      47     |   79.11    |
|  Gen 26  | 51.56 | -72.10 | 0.54 |      46     |   79.11    |
|  Gen 27  | 50.67 | -75.73 | 0.52 |      50     |   77.78    |
|  Gen 28  | 50.22 | -75.93 | 0.53 |      52     |   76.89    |
|  Gen 29  | 50.22 | -76.07 | 0.52 |      54     |   76.00    |
|  Gen 30  | 51.56 | -73.10 | 0.52 |      61     |   72.44    |
|  Gen 31  | 48.00 | -74.70 | 0.59 |      47     |   79.11    |
|  Gen 32  | 50.67 | -71.40 | 0.55 |      48     |   78.67    |
|  Gen 33  | 49.33 | -77.50 | 0.52 |      45     |   80.00    |
|  Gen 34  | 51.11 | -71.87 | 0.53 |      60     |   72.89    |
|  Gen 35  | 50.22 | -69.87 | 0.57 |      49     |   78.22    |
|  Gen 36  | 49.33 | -73.30 | 0.55 |      53     |   76.00    |
|  Gen 37  | 50.22 | -74.47 | 0.52 |      52     |   76.89    |
|  Gen 38  | 50.22 | -74.10 | 0.52 |      47     |   79.11    |
|  Gen 39  | 50.67 | -71.20 | 0.54 |      54     |   76.00    |
|  Gen 40  | 49.33 | -77.10 | 0.51 |      54     |   76.00    |
|  Gen 41  | 49.33 | -73.93 | 0.54 |      50     |   77.33    |
|  Gen 42  | 49.33 | -74.17 | 0.53 |      57     |   74.67    |
|  Gen 43  | 50.22 | -77.20 | 0.47 |      49     |   77.78    |
|  Gen 44  | 51.56 | -71.20 | 0.50 |      58     |   74.22    |
|  Gen 45  | 50.67 | -75.03 | 0.48 |      53     |   76.44    |
|  Gen 46  | 49.78 | -72.90 | 0.52 |      57     |   74.22    |
|  Gen 47  | 48.89 | -71.70 | 0.55 |      57     |   73.78    |
|  Gen 48  | 49.78 | -72.67 | 0.51 |      51     |   76.89    |
|  Gen 49  | 47.11 | -75.00 | 0.55 |      46     |   79.56    |
|  Gen 50  | 49.78 | -71.13 | 0.52 |      51     |   77.33    |
| Best GC  | 53.78 | -89.77 | 0.56 |      52     |   76.89    |
| Best MFE | 53.78 | -89.77 | 0.56 |      52     |   76.89    |
| Best CAI | 50.67 | -86.70 | 0.62 |      46     |   79.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
