+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.33 | -30.97 | 0.69 |      21     |   80.00    |
|  Gen 2   | 51.43 | -30.90 | 0.61 |      28     |   73.33    |
|  Gen 3   | 49.52 | -30.10 | 0.61 |      24     |   77.14    |
|  Gen 4   | 54.29 | -32.70 | 0.60 |      26     |   75.24    |
|  Gen 5   | 49.52 | -36.80 | 0.59 |      21     |   79.05    |
|  Gen 6   | 53.33 | -38.90 | 0.59 |      23     |   78.10    |
|  Gen 7   | 51.43 | -29.30 | 0.60 |      25     |   76.19    |
|  Gen 8   | 50.48 | -29.07 | 0.60 |      27     |   74.29    |
|  Gen 9   | 52.38 | -35.00 | 0.59 |      31     |   70.48    |
|  Gen 10  | 52.38 | -31.00 | 0.59 |      30     |   71.43    |
|  Gen 11  | 51.43 | -30.70 | 0.59 |      21     |   80.00    |
|  Gen 12  | 51.43 | -33.50 | 0.59 |      19     |   81.90    |
|  Gen 13  | 51.43 | -31.87 | 0.59 |      23     |   78.10    |
|  Gen 14  | 54.29 | -31.50 | 0.58 |      24     |   77.14    |
|  Gen 15  | 52.38 | -32.60 | 0.58 |      21     |   80.00    |
|  Gen 16  | 50.48 | -33.10 | 0.57 |      24     |   76.19    |
|  Gen 17  | 52.38 | -32.47 | 0.57 |      26     |   75.24    |
|  Gen 18  | 47.62 | -30.20 | 0.56 |      20     |   80.95    |
|  Gen 19  | 50.48 | -25.47 | 0.57 |      18     |   82.86    |
|  Gen 20  | 53.33 | -38.43 | 0.54 |      26     |   75.24    |
|  Gen 21  | 47.62 | -26.90 | 0.56 |      24     |   77.14    |
|  Gen 22  | 48.57 | -31.50 | 0.55 |      24     |   77.14    |
|  Gen 23  | 52.38 | -31.80 | 0.55 |      25     |   76.19    |
|  Gen 24  | 51.43 | -32.17 | 0.54 |      28     |   73.33    |
|  Gen 25  | 47.62 | -31.00 | 0.54 |      26     |   75.24    |
|  Gen 26  | 55.24 | -29.30 | 0.55 |      25     |   75.24    |
|  Gen 27  | 48.57 | -28.10 | 0.54 |      29     |   72.38    |
|  Gen 28  | 47.62 | -21.00 | 0.55 |      21     |   80.00    |
|  Gen 29  | 51.43 | -28.60 | 0.53 |      25     |   76.19    |
|  Gen 30  | 49.52 | -36.50 | 0.52 |      21     |   80.00    |
|  Gen 31  | 47.62 | -29.90 | 0.53 |      23     |   78.10    |
|  Gen 32  | 47.62 | -28.87 | 0.53 |      23     |   78.10    |
|  Gen 33  | 53.33 | -33.90 | 0.52 |      22     |   78.10    |
|  Gen 34  | 46.67 | -21.30 | 0.54 |      24     |   77.14    |
|  Gen 35  | 49.52 | -32.93 | 0.52 |      19     |   81.90    |
|  Gen 36  | 49.52 | -30.70 | 0.52 |      22     |   79.05    |
|  Gen 37  | 51.43 | -33.20 | 0.51 |      25     |   76.19    |
|  Gen 38  | 51.43 | -30.90 | 0.51 |      26     |   75.24    |
|  Gen 39  | 53.33 | -25.40 | 0.52 |      24     |   77.14    |
|  Gen 40  | 52.38 | -29.90 | 0.51 |      29     |   72.38    |
|  Gen 41  | 47.62 | -29.40 | 0.51 |      23     |   78.10    |
|  Gen 42  | 54.29 | -36.60 | 0.50 |      25     |   75.24    |
|  Gen 43  | 48.57 | -32.50 | 0.50 |      23     |   78.10    |
|  Gen 44  | 49.52 | -27.60 | 0.51 |      21     |   80.00    |
|  Gen 45  | 49.52 | -25.20 | 0.51 |      22     |   79.05    |
|  Gen 46  | 46.67 | -28.63 | 0.51 |      30     |   71.43    |
|  Gen 47  | 50.48 | -29.00 | 0.51 |      24     |   77.14    |
|  Gen 48  | 50.48 | -22.80 | 0.51 |      24     |   77.14    |
|  Gen 49  | 48.57 | -33.80 | 0.50 |      23     |   78.10    |
|  Gen 50  | 50.48 | -27.60 | 0.50 |      26     |   75.24    |
| Best GC  | 55.24 | -29.30 | 0.55 |      25     |   75.24    |
| Best MFE | 53.33 | -38.90 | 0.59 |      23     |   78.10    |
| Best CAI | 53.33 | -30.97 | 0.69 |      21     |   80.00    |
| Natural  | 45.71 | -27.47 | 0.56 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
