+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.78 | -79.23 | 0.63 |      47     |   78.67    |
|  Gen 2   | 50.67 | -86.53 | 0.60 |      46     |   79.56    |
|  Gen 3   | 52.00 | -79.67 | 0.58 |      48     |   78.22    |
|  Gen 4   | 52.89 | -77.70 | 0.58 |      47     |   78.67    |
|  Gen 5   | 50.22 | -71.20 | 0.59 |      55     |   75.11    |
|  Gen 6   | 50.22 | -78.60 | 0.58 |      44     |   80.44    |
|  Gen 7   | 50.67 | -78.30 | 0.57 |      59     |   73.78    |
|  Gen 8   | 49.33 | -83.97 | 0.56 |      49     |   77.78    |
|  Gen 9   | 52.89 | -80.00 | 0.56 |      56     |   75.11    |
|  Gen 10  | 51.11 | -83.40 | 0.56 |      51     |   77.33    |
|  Gen 11  | 47.56 | -80.77 | 0.56 |      56     |   75.11    |
|  Gen 12  | 52.44 | -72.50 | 0.57 |      46     |   79.11    |
|  Gen 13  | 52.00 | -81.97 | 0.56 |      53     |   76.44    |
|  Gen 14  | 52.00 | -75.50 | 0.56 |      62     |   72.44    |
|  Gen 15  | 50.22 | -69.37 | 0.57 |      50     |   77.33    |
|  Gen 16  | 48.00 | -72.00 | 0.56 |      51     |   76.89    |
|  Gen 17  | 49.33 | -85.90 | 0.54 |      53     |   76.00    |
|  Gen 18  | 51.56 | -77.37 | 0.55 |      58     |   74.22    |
|  Gen 19  | 50.22 | -67.50 | 0.57 |      59     |   73.78    |
|  Gen 20  | 52.44 | -77.67 | 0.55 |      58     |   73.78    |
|  Gen 21  | 51.56 | -74.87 | 0.55 |      56     |   74.67    |
|  Gen 22  | 50.67 | -79.00 | 0.55 |      54     |   74.67    |
|  Gen 23  | 49.78 | -77.07 | 0.55 |      50     |   77.33    |
|  Gen 24  | 52.44 | -78.40 | 0.54 |      52     |   76.89    |
|  Gen 25  | 48.89 | -75.87 | 0.55 |      45     |   80.00    |
|  Gen 26  | 48.89 | -75.10 | 0.54 |      59     |   73.78    |
|  Gen 27  | 48.89 | -68.40 | 0.55 |      57     |   74.67    |
|  Gen 28  | 46.22 | -74.70 | 0.54 |      49     |   77.78    |
|  Gen 29  | 47.11 | -73.03 | 0.55 |      54     |   76.00    |
|  Gen 30  | 48.44 | -72.40 | 0.55 |      50     |   76.89    |
|  Gen 31  | 50.67 | -84.30 | 0.53 |      48     |   78.67    |
|  Gen 32  | 51.11 | -77.17 | 0.54 |      45     |   80.00    |
|  Gen 33  | 47.11 | -77.73 | 0.53 |      47     |   79.11    |
|  Gen 34  | 50.67 | -77.00 | 0.53 |      50     |   77.78    |
|  Gen 35  | 52.00 | -82.20 | 0.52 |      56     |   74.67    |
|  Gen 36  | 48.00 | -82.60 | 0.52 |      47     |   79.11    |
|  Gen 37  | 48.44 | -70.20 | 0.54 |      50     |   77.33    |
|  Gen 38  | 49.33 | -70.50 | 0.54 |      43     |   80.89    |
|  Gen 39  | 49.33 | -63.30 | 0.55 |      47     |   78.67    |
|  Gen 40  | 50.22 | -75.30 | 0.53 |      51     |   77.33    |
|  Gen 41  | 52.00 | -75.20 | 0.53 |      51     |   77.33    |
|  Gen 42  | 51.56 | -82.80 | 0.51 |      58     |   74.22    |
|  Gen 43  | 48.89 | -75.47 | 0.52 |      55     |   75.56    |
|  Gen 44  | 48.00 | -71.80 | 0.52 |      56     |   75.11    |
|  Gen 45  | 48.44 | -75.70 | 0.52 |      53     |   76.44    |
|  Gen 46  | 50.67 | -72.80 | 0.52 |      46     |   79.11    |
|  Gen 47  | 48.44 | -68.50 | 0.53 |      47     |   79.11    |
|  Gen 48  | 47.56 | -74.10 | 0.52 |      47     |   78.67    |
|  Gen 49  | 51.56 | -81.57 | 0.50 |      46     |   79.56    |
|  Gen 50  | 49.78 | -77.30 | 0.51 |      54     |   76.00    |
| Best GC  | 53.78 | -79.23 | 0.63 |      47     |   78.67    |
| Best MFE | 50.67 | -86.53 | 0.60 |      46     |   79.56    |
| Best CAI | 53.78 | -79.23 | 0.63 |      47     |   78.67    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
