+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 54.22 | -82.30 | 0.55 |      51     |   77.33    |
|  Gen 2   | 53.33 | -78.67 | 0.53 |      53     |   76.44    |
|  Gen 3   | 51.11 | -79.33 | 0.57 |      54     |   76.00    |
|  Gen 4   | 51.56 | -77.33 | 0.57 |      47     |   79.11    |
|  Gen 5   | 51.56 | -74.73 | 0.58 |      52     |   76.89    |
|  Gen 6   | 52.89 | -73.80 | 0.55 |      51     |   77.33    |
|  Gen 7   | 50.22 | -76.10 | 0.58 |      46     |   79.56    |
|  Gen 8   | 51.56 | -74.87 | 0.55 |      52     |   76.89    |
|  Gen 9   | 50.67 | -79.50 | 0.52 |      54     |   75.56    |
|  Gen 10  | 52.00 | -73.40 | 0.55 |      47     |   79.11    |
|  Gen 11  | 50.67 | -74.43 | 0.57 |      51     |   76.89    |
|  Gen 12  | 51.56 | -74.10 | 0.54 |      47     |   79.11    |
|  Gen 13  | 51.11 | -71.30 | 0.57 |      56     |   74.67    |
|  Gen 14  | 50.67 | -78.10 | 0.51 |      51     |   77.33    |
|  Gen 15  | 51.11 | -74.40 | 0.52 |      52     |   76.89    |
|  Gen 16  | 50.67 | -77.13 | 0.50 |      56     |   75.11    |
|  Gen 17  | 49.78 | -76.90 | 0.52 |      53     |   76.44    |
|  Gen 18  | 52.00 | -69.83 | 0.53 |      49     |   77.78    |
|  Gen 19  | 51.11 | -73.00 | 0.52 |      52     |   76.89    |
|  Gen 20  | 50.67 | -72.80 | 0.54 |      48     |   78.22    |
|  Gen 21  | 49.78 | -77.50 | 0.50 |      50     |   77.78    |
|  Gen 22  | 51.11 | -77.13 | 0.47 |      54     |   76.00    |
|  Gen 23  | 51.11 | -74.10 | 0.50 |      58     |   74.22    |
|  Gen 24  | 51.56 | -67.40 | 0.55 |      55     |   75.56    |
|  Gen 25  | 50.67 | -72.70 | 0.52 |      57     |   74.67    |
|  Gen 26  | 50.67 | -72.77 | 0.51 |      57     |   74.67    |
|  Gen 27  | 49.78 | -75.37 | 0.51 |      52     |   76.44    |
|  Gen 28  | 51.11 | -66.83 | 0.55 |      53     |   76.44    |
|  Gen 29  | 50.22 | -72.57 | 0.52 |      53     |   76.44    |
|  Gen 30  | 49.78 | -71.37 | 0.53 |      52     |   76.89    |
|  Gen 31  | 50.22 | -65.50 | 0.58 |      46     |   79.56    |
|  Gen 32  | 51.56 | -64.60 | 0.55 |      50     |   77.78    |
|  Gen 33  | 51.11 | -71.00 | 0.50 |      53     |   76.00    |
|  Gen 34  | 50.67 | -67.63 | 0.54 |      49     |   78.22    |
|  Gen 35  | 50.22 | -66.73 | 0.56 |      47     |   79.11    |
|  Gen 36  | 48.89 | -72.03 | 0.54 |      54     |   76.00    |
|  Gen 37  | 51.11 | -66.57 | 0.53 |      50     |   77.78    |
|  Gen 38  | 49.33 | -73.40 | 0.51 |      49     |   78.22    |
|  Gen 39  | 49.33 | -69.90 | 0.54 |      55     |   75.56    |
|  Gen 40  | 50.67 | -66.20 | 0.54 |      48     |   78.67    |
|  Gen 41  | 51.11 | -70.30 | 0.49 |      49     |   78.22    |
|  Gen 42  | 50.67 | -71.70 | 0.48 |      55     |   75.11    |
|  Gen 43  | 50.67 | -69.73 | 0.50 |      47     |   79.11    |
|  Gen 44  | 50.22 | -67.40 | 0.53 |      50     |   77.78    |
|  Gen 45  | 50.22 | -71.17 | 0.49 |      52     |   76.89    |
|  Gen 46  | 48.44 | -70.93 | 0.53 |      55     |   75.56    |
|  Gen 47  | 49.78 | -65.80 | 0.55 |      54     |   76.00    |
|  Gen 48  | 49.78 | -70.50 | 0.50 |      49     |   78.22    |
|  Gen 49  | 50.22 | -70.97 | 0.48 |      55     |   75.56    |
|  Gen 50  | 48.89 | -76.13 | 0.46 |      54     |   75.56    |
| Best GC  | 54.22 | -82.30 | 0.55 |      51     |   77.33    |
| Best MFE | 54.22 | -82.30 | 0.55 |      51     |   77.33    |
| Best CAI | 50.22 | -76.10 | 0.58 |      46     |   79.56    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
