+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 47.56 | -57.20 | 0.49 |      52     |   76.89    |
|  Gen 2   | 48.89 | -63.57 | 0.52 |      54     |   76.00    |
|  Gen 3   | 47.11 | -72.10 | 0.58 |      45     |   79.56    |
|  Gen 4   | 44.89 | -59.87 | 0.48 |      52     |   76.89    |
|  Gen 5   | 48.00 | -62.93 | 0.50 |      44     |   80.44    |
|  Gen 6   | 47.56 | -63.10 | 0.50 |      57     |   74.67    |
|  Gen 7   | 51.56 | -68.70 | 0.54 |      48     |   78.22    |
|  Gen 8   | 51.11 | -70.80 | 0.56 |      47     |   79.11    |
|  Gen 9   | 51.56 | -72.60 | 0.57 |      52     |   76.89    |
|  Gen 10  | 47.11 | -65.40 | 0.51 |      50     |   77.78    |
|  Gen 11  | 50.67 | -70.30 | 0.55 |      48     |   78.67    |
|  Gen 12  | 48.89 | -70.50 | 0.55 |      52     |   76.44    |
|  Gen 13  | 47.11 | -65.37 | 0.51 |      41     |   81.78    |
|  Gen 14  | 48.00 | -69.83 | 0.54 |      48     |   78.67    |
|  Gen 15  | 48.89 | -66.40 | 0.51 |      54     |   76.00    |
|  Gen 16  | 48.89 | -71.70 | 0.55 |      57     |   73.78    |
|  Gen 17  | 47.56 | -71.17 | 0.54 |      53     |   76.44    |
|  Gen 18  | 46.67 | -65.97 | 0.50 |      57     |   74.67    |
|  Gen 19  | 53.33 | -76.20 | 0.58 |      58     |   73.78    |
|  Gen 20  | 49.33 | -62.30 | 0.47 |      50     |   77.78    |
|  Gen 21  | 47.56 | -65.70 | 0.49 |      53     |   76.44    |
|  Gen 22  | 47.11 | -73.20 | 0.55 |      46     |   79.56    |
|  Gen 23  | 52.00 | -72.93 | 0.55 |      56     |   74.67    |
|  Gen 24  | 46.67 | -66.10 | 0.49 |      48     |   78.67    |
|  Gen 25  | 49.78 | -69.03 | 0.51 |      59     |   73.33    |
|  Gen 26  | 48.00 | -67.17 | 0.50 |      48     |   78.67    |
|  Gen 27  | 47.11 | -61.97 | 0.46 |      54     |   76.00    |
|  Gen 28  | 51.11 | -71.87 | 0.53 |      60     |   72.89    |
|  Gen 29  | 51.56 | -76.70 | 0.57 |      51     |   76.89    |
|  Gen 30  | 49.78 | -74.27 | 0.55 |      51     |   77.33    |
|  Gen 31  | 48.44 | -66.23 | 0.49 |      64     |   71.11    |
|  Gen 32  | 51.11 | -76.20 | 0.56 |      51     |   77.33    |
|  Gen 33  | 47.56 | -59.70 | 0.44 |      50     |   77.78    |
|  Gen 34  | 46.22 | -67.80 | 0.50 |      43     |   80.89    |
|  Gen 35  | 49.33 | -71.50 | 0.52 |      56     |   75.11    |
|  Gen 36  | 50.67 | -73.30 | 0.54 |      46     |   79.11    |
|  Gen 37  | 48.89 | -67.63 | 0.49 |      45     |   80.00    |
|  Gen 38  | 49.78 | -71.80 | 0.52 |      51     |   77.33    |
|  Gen 39  | 49.78 | -74.10 | 0.54 |      46     |   79.56    |
|  Gen 40  | 50.22 | -82.80 | 0.60 |      45     |   79.56    |
|  Gen 41  | 51.56 | -76.67 | 0.56 |      58     |   74.22    |
|  Gen 42  | 50.22 | -73.33 | 0.53 |      49     |   78.22    |
|  Gen 43  | 50.67 | -73.80 | 0.54 |      57     |   74.67    |
|  Gen 44  | 46.67 | -61.73 | 0.44 |      55     |   75.56    |
|  Gen 45  | 49.33 | -70.73 | 0.51 |      56     |   74.67    |
|  Gen 46  | 50.22 | -71.97 | 0.52 |      51     |   77.33    |
|  Gen 47  | 50.22 | -71.63 | 0.51 |      55     |   75.11    |
|  Gen 48  | 50.22 | -77.23 | 0.56 |      54     |   76.00    |
|  Gen 49  | 43.56 | -63.00 | 0.45 |      41     |   81.78    |
|  Gen 50  | 51.11 | -74.33 | 0.53 |      52     |   76.89    |
| Best GC  | 53.33 | -76.20 | 0.58 |      58     |   73.78    |
| Best MFE | 50.67 | -85.83 | 0.52 |      47     |   79.11    |
| Best CAI | 50.22 | -82.80 | 0.60 |      45     |   79.56    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
