+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.56 | -76.47 | 0.59 |      55     |   75.11    |
|  Gen 2   | 52.44 | -74.10 | 0.60 |      47     |   79.11    |
|  Gen 3   | 54.67 | -75.67 | 0.59 |      56     |   74.67    |
|  Gen 4   | 52.44 | -78.83 | 0.59 |      54     |   76.00    |
|  Gen 5   | 53.33 | -83.07 | 0.58 |      46     |   79.11    |
|  Gen 6   | 52.00 | -82.97 | 0.57 |      51     |   76.44    |
|  Gen 7   | 50.22 | -78.03 | 0.57 |      50     |   77.78    |
|  Gen 8   | 51.56 | -72.90 | 0.58 |      54     |   76.00    |
|  Gen 9   | 51.56 | -71.63 | 0.57 |      48     |   78.67    |
|  Gen 10  | 51.56 | -80.77 | 0.55 |      47     |   78.67    |
|  Gen 11  | 46.67 | -70.57 | 0.56 |      45     |   80.00    |
|  Gen 12  | 52.00 | -78.07 | 0.54 |      56     |   75.11    |
|  Gen 13  | 50.22 | -71.23 | 0.55 |      55     |   75.56    |
|  Gen 14  | 52.89 | -86.20 | 0.53 |      53     |   76.44    |
|  Gen 15  | 53.78 | -77.60 | 0.54 |      53     |   76.44    |
|  Gen 16  | 52.00 | -75.07 | 0.54 |      52     |   76.89    |
|  Gen 17  | 50.67 | -73.17 | 0.55 |      47     |   78.67    |
|  Gen 18  | 49.78 | -66.20 | 0.55 |      53     |   76.00    |
|  Gen 19  | 50.22 | -80.53 | 0.53 |      45     |   80.00    |
|  Gen 20  | 49.33 | -75.30 | 0.54 |      54     |   75.56    |
|  Gen 21  | 48.89 | -76.67 | 0.54 |      39     |   82.67    |
|  Gen 22  | 52.89 | -70.70 | 0.54 |      56     |   74.22    |
|  Gen 23  | 51.56 | -72.70 | 0.54 |      55     |   75.11    |
|  Gen 24  | 49.78 | -72.80 | 0.54 |      50     |   77.78    |
|  Gen 25  | 50.67 | -66.40 | 0.55 |      56     |   75.11    |
|  Gen 26  | 49.78 | -69.10 | 0.54 |      47     |   78.67    |
|  Gen 27  | 48.44 | -70.27 | 0.54 |      48     |   78.67    |
|  Gen 28  | 47.56 | -73.77 | 0.53 |      54     |   76.00    |
|  Gen 29  | 49.78 | -68.37 | 0.54 |      58     |   74.22    |
|  Gen 30  | 48.89 | -81.27 | 0.52 |      50     |   77.33    |
|  Gen 31  | 50.22 | -66.30 | 0.54 |      63     |   72.00    |
|  Gen 32  | 46.67 | -69.23 | 0.53 |      49     |   77.78    |
|  Gen 33  | 48.89 | -75.53 | 0.52 |      53     |   76.44    |
|  Gen 34  | 50.22 | -85.67 | 0.51 |      54     |   75.56    |
|  Gen 35  | 48.00 | -79.00 | 0.52 |      41     |   80.89    |
|  Gen 36  | 49.33 | -73.50 | 0.52 |      49     |   78.22    |
|  Gen 37  | 48.44 | -72.93 | 0.52 |      53     |   76.44    |
|  Gen 38  | 45.33 | -82.00 | 0.51 |      49     |   78.22    |
|  Gen 39  | 51.11 | -74.47 | 0.52 |      48     |   77.78    |
|  Gen 40  | 49.33 | -72.10 | 0.52 |      57     |   74.67    |
|  Gen 41  | 49.78 | -69.50 | 0.52 |      49     |   77.78    |
|  Gen 42  | 47.56 | -63.40 | 0.53 |      49     |   78.22    |
|  Gen 43  | 49.33 | -70.20 | 0.52 |      51     |   77.33    |
|  Gen 44  | 49.78 | -72.00 | 0.51 |      43     |   80.89    |
|  Gen 45  | 47.11 | -68.77 | 0.52 |      50     |   77.33    |
|  Gen 46  | 50.22 | -71.83 | 0.51 |      56     |   75.11    |
|  Gen 47  | 50.67 | -82.53 | 0.50 |      44     |   80.44    |
|  Gen 48  | 48.00 | -69.60 | 0.51 |      54     |   76.00    |
|  Gen 49  | 49.33 | -75.90 | 0.50 |      56     |   74.67    |
|  Gen 50  | 49.33 | -69.40 | 0.51 |      48     |   78.67    |
| Best GC  | 54.67 | -75.67 | 0.59 |      56     |   74.67    |
| Best MFE | 52.89 | -86.20 | 0.53 |      53     |   76.44    |
| Best CAI | 52.44 | -74.10 | 0.60 |      47     |   79.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
