+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 48.23 | -163.97 | 0.51 |      99     |   76.60    |
|  Gen 2   | 50.12 | -161.40 | 0.51 |      98     |   76.36    |
|  Gen 3   | 46.57 | -170.47 | 0.49 |     107     |   74.70    |
|  Gen 4   | 50.12 | -165.77 | 0.49 |     116     |   72.34    |
|  Gen 5   | 48.23 | -171.40 | 0.48 |     101     |   76.12    |
|  Gen 6   | 48.94 | -158.40 | 0.50 |     108     |   74.00    |
|  Gen 7   | 45.63 | -153.73 | 0.50 |      92     |   78.25    |
|  Gen 8   | 48.23 | -164.03 | 0.48 |     121     |   70.92    |
|  Gen 9   | 47.75 | -157.80 | 0.49 |     103     |   75.65    |
|  Gen 10  | 48.70 | -162.43 | 0.48 |      97     |   76.83    |
|  Gen 11  | 48.23 | -157.47 | 0.48 |     107     |   74.47    |
|  Gen 12  | 47.52 | -149.20 | 0.49 |     105     |   75.18    |
|  Gen 13  | 49.65 | -176.57 | 0.45 |      96     |   76.83    |
|  Gen 14  | 48.70 | -151.90 | 0.49 |     103     |   75.65    |
|  Gen 15  | 48.94 | -154.30 | 0.48 |     109     |   74.00    |
|  Gen 16  | 49.41 | -159.43 | 0.47 |      98     |   76.60    |
|  Gen 17  | 47.28 | -147.80 | 0.49 |      99     |   76.60    |
|  Gen 18  | 49.65 | -159.57 | 0.47 |      97     |   77.07    |
|  Gen 19  | 47.52 | -153.93 | 0.48 |     106     |   74.47    |
|  Gen 20  | 47.04 | -161.80 | 0.46 |     106     |   74.70    |
|  Gen 21  | 47.28 | -156.10 | 0.47 |     106     |   74.94    |
|  Gen 22  | 48.23 | -159.50 | 0.46 |     104     |   74.94    |
|  Gen 23  | 49.17 | -152.63 | 0.47 |     102     |   75.41    |
|  Gen 24  | 47.04 | -159.20 | 0.46 |      96     |   77.30    |
|  Gen 25  | 46.81 | -165.60 | 0.45 |      99     |   76.60    |
|  Gen 26  | 48.46 | -152.00 | 0.47 |     104     |   75.41    |
|  Gen 27  | 45.63 | -150.40 | 0.47 |      89     |   78.96    |
|  Gen 28  | 47.04 | -150.20 | 0.47 |      90     |   78.49    |
|  Gen 29  | 45.86 | -154.13 | 0.46 |      94     |   77.30    |
|  Gen 30  | 47.04 | -150.67 | 0.47 |     101     |   76.12    |
|  Gen 31  | 48.23 | -159.07 | 0.45 |     102     |   75.89    |
|  Gen 32  | 48.94 | -159.50 | 0.45 |     107     |   74.70    |
|  Gen 33  | 47.04 | -151.00 | 0.46 |     111     |   73.76    |
|  Gen 34  | 45.63 | -143.13 | 0.47 |     106     |   74.70    |
|  Gen 35  | 44.92 | -142.27 | 0.47 |      92     |   78.25    |
|  Gen 36  | 49.41 | -155.63 | 0.45 |     109     |   74.23    |
|  Gen 37  | 44.68 | -147.93 | 0.46 |     103     |   75.65    |
|  Gen 38  | 48.70 | -161.03 | 0.44 |     104     |   75.41    |
|  Gen 39  | 49.41 | -159.87 | 0.44 |     112     |   73.05    |
|  Gen 40  | 48.94 | -147.73 | 0.46 |     104     |   75.41    |
|  Gen 41  | 48.70 | -153.03 | 0.45 |      92     |   78.25    |
|  Gen 42  | 46.34 | -152.00 | 0.45 |     111     |   73.52    |
|  Gen 43  | 46.57 | -158.40 | 0.44 |     107     |   74.70    |
|  Gen 44  | 47.28 | -158.30 | 0.44 |     106     |   74.70    |
|  Gen 45  | 47.99 | -151.17 | 0.45 |     107     |   74.70    |
|  Gen 46  | 47.28 | -156.90 | 0.44 |     110     |   74.00    |
|  Gen 47  | 44.92 | -150.63 | 0.44 |     104     |   75.18    |
|  Gen 48  | 44.92 | -144.40 | 0.45 |      99     |   76.60    |
|  Gen 49  | 45.86 | -158.00 | 0.43 |     108     |   74.00    |
|  Gen 50  | 46.10 | -148.60 | 0.45 |      92     |   78.25    |
| Best GC  | 50.12 | -161.40 | 0.51 |      98     |   76.36    |
| Best MFE | 49.65 | -176.57 | 0.45 |      96     |   76.83    |
| Best CAI | 48.23 | -163.97 | 0.51 |      99     |   76.60    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
