+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.56 | -87.93 | 0.46 |      52     |   76.89    |
|  Gen 2   | 48.89 | -88.93 | 0.48 |      55     |   75.11    |
|  Gen 3   | 53.33 | -82.97 | 0.55 |      55     |   75.56    |
|  Gen 4   | 50.67 | -85.07 | 0.53 |      52     |   76.89    |
|  Gen 5   | 56.00 | -79.27 | 0.55 |      53     |   76.44    |
|  Gen 6   | 51.56 | -83.27 | 0.54 |      44     |   80.44    |
|  Gen 7   | 53.78 | -81.00 | 0.57 |      49     |   77.78    |
|  Gen 8   | 50.67 | -82.80 | 0.51 |      45     |   80.00    |
|  Gen 9   | 49.78 | -83.70 | 0.50 |      52     |   76.89    |
|  Gen 10  | 52.44 | -80.80 | 0.52 |      52     |   76.44    |
|  Gen 11  | 51.56 | -80.00 | 0.49 |      54     |   76.00    |
|  Gen 12  | 49.78 | -80.97 | 0.54 |      54     |   76.00    |
|  Gen 13  | 52.00 | -78.60 | 0.50 |      48     |   77.78    |
|  Gen 14  | 50.22 | -79.60 | 0.49 |      53     |   76.44    |
|  Gen 15  | 51.56 | -77.93 | 0.48 |      51     |   77.33    |
|  Gen 16  | 49.33 | -79.83 | 0.55 |      54     |   76.00    |
|  Gen 17  | 49.78 | -78.87 | 0.55 |      50     |   77.78    |
|  Gen 18  | 50.22 | -78.40 | 0.55 |      56     |   75.11    |
|  Gen 19  | 51.56 | -76.80 | 0.59 |      52     |   76.44    |
|  Gen 20  | 51.11 | -77.10 | 0.55 |      54     |   75.56    |
|  Gen 21  | 52.89 | -75.20 | 0.59 |      45     |   79.56    |
|  Gen 22  | 48.00 | -80.07 | 0.53 |      44     |   80.44    |
|  Gen 23  | 47.56 | -80.10 | 0.48 |      46     |   79.56    |
|  Gen 24  | 51.11 | -76.13 | 0.58 |      42     |   81.33    |
|  Gen 25  | 51.11 | -76.20 | 0.52 |      57     |   74.67    |
|  Gen 26  | 49.78 | -77.50 | 0.52 |      61     |   72.89    |
|  Gen 27  | 51.11 | -76.00 | 0.51 |      52     |   76.89    |
|  Gen 28  | 52.00 | -74.80 | 0.56 |      46     |   79.56    |
|  Gen 29  | 50.67 | -75.90 | 0.56 |      52     |   76.44    |
|  Gen 30  | 50.67 | -75.77 | 0.50 |      59     |   72.89    |
|  Gen 31  | 48.89 | -77.17 | 0.57 |      54     |   75.56    |
|  Gen 32  | 48.89 | -76.83 | 0.55 |      57     |   74.67    |
|  Gen 33  | 52.44 | -73.20 | 0.52 |      47     |   79.11    |
|  Gen 34  | 48.89 | -76.60 | 0.46 |      49     |   78.22    |
|  Gen 35  | 50.22 | -75.07 | 0.52 |      50     |   77.33    |
|  Gen 36  | 48.00 | -77.20 | 0.45 |      50     |   77.78    |
|  Gen 37  | 49.33 | -75.77 | 0.50 |      50     |   77.78    |
|  Gen 38  | 49.33 | -75.60 | 0.57 |      55     |   75.11    |
|  Gen 39  | 49.33 | -75.50 | 0.57 |      56     |   75.11    |
|  Gen 40  | 49.78 | -75.10 | 0.51 |      53     |   76.44    |
|  Gen 41  | 50.67 | -74.00 | 0.53 |      55     |   75.56    |
|  Gen 42  | 50.22 | -74.37 | 0.49 |      59     |   73.78    |
|  Gen 43  | 48.89 | -75.60 | 0.49 |      56     |   74.67    |
|  Gen 44  | 52.00 | -71.90 | 0.51 |      51     |   76.89    |
|  Gen 45  | 48.44 | -75.47 | 0.44 |      52     |   76.44    |
|  Gen 46  | 50.67 | -72.97 | 0.55 |      52     |   76.44    |
|  Gen 47  | 48.89 | -74.53 | 0.53 |      50     |   77.78    |
|  Gen 48  | 49.33 | -74.10 | 0.52 |      49     |   78.22    |
|  Gen 49  | 50.22 | -73.10 | 0.51 |      54     |   75.56    |
|  Gen 50  | 50.67 | -72.40 | 0.47 |      54     |   76.00    |
| Best GC  | 56.00 | -79.27 | 0.55 |      53     |   76.44    |
| Best MFE | 48.89 | -88.93 | 0.48 |      55     |   75.11    |
| Best CAI | 52.89 | -75.20 | 0.59 |      45     |   79.56    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
