+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.11 | -86.70 | 0.62 |      47     |   78.67    |
|  Gen 2   | 48.00 | -74.70 | 0.59 |      47     |   79.11    |
|  Gen 3   | 52.44 | -87.60 | 0.57 |      52     |   76.89    |
|  Gen 4   | 53.78 | -76.40 | 0.58 |      58     |   74.22    |
|  Gen 5   | 52.00 | -75.70 | 0.58 |      57     |   74.67    |
|  Gen 6   | 50.67 | -81.80 | 0.57 |      52     |   76.44    |
|  Gen 7   | 52.00 | -76.70 | 0.57 |      50     |   77.33    |
|  Gen 8   | 49.33 | -77.13 | 0.57 |      52     |   76.89    |
|  Gen 9   | 50.22 | -73.73 | 0.57 |      54     |   76.00    |
|  Gen 10  | 50.67 | -78.10 | 0.56 |      45     |   80.00    |
|  Gen 11  | 51.11 | -76.20 | 0.56 |      51     |   77.33    |
|  Gen 12  | 51.11 | -85.53 | 0.54 |      47     |   79.11    |
|  Gen 13  | 52.00 | -73.30 | 0.56 |      57     |   74.22    |
|  Gen 14  | 47.11 | -75.00 | 0.55 |      46     |   79.56    |
|  Gen 15  | 51.11 | -79.50 | 0.55 |      43     |   80.44    |
|  Gen 16  | 51.11 | -74.90 | 0.55 |      52     |   76.89    |
|  Gen 17  | 48.89 | -81.90 | 0.54 |      43     |   80.89    |
|  Gen 18  | 51.11 | -70.80 | 0.56 |      47     |   79.11    |
|  Gen 19  | 51.11 | -73.80 | 0.55 |      48     |   78.67    |
|  Gen 20  | 49.78 | -77.67 | 0.55 |      47     |   79.11    |
|  Gen 21  | 50.67 | -78.50 | 0.54 |      52     |   76.89    |
|  Gen 22  | 48.89 | -71.70 | 0.55 |      57     |   73.78    |
|  Gen 23  | 48.00 | -79.40 | 0.54 |      51     |   76.44    |
|  Gen 24  | 47.56 | -71.17 | 0.54 |      53     |   76.44    |
|  Gen 25  | 49.78 | -69.97 | 0.54 |      46     |   79.56    |
|  Gen 26  | 47.11 | -77.37 | 0.53 |      53     |   76.00    |
|  Gen 27  | 50.67 | -73.30 | 0.54 |      46     |   79.11    |
|  Gen 28  | 47.56 | -74.70 | 0.53 |      46     |   79.11    |
|  Gen 29  | 51.56 | -68.60 | 0.54 |      55     |   75.56    |
|  Gen 30  | 51.56 | -72.00 | 0.54 |      47     |   78.67    |
|  Gen 31  | 48.89 | -74.13 | 0.53 |      48     |   78.22    |
|  Gen 32  | 48.89 | -71.30 | 0.54 |      47     |   78.67    |
|  Gen 33  | 52.00 | -81.67 | 0.52 |      55     |   75.56    |
|  Gen 34  | 48.44 | -69.50 | 0.54 |      53     |   76.00    |
|  Gen 35  | 50.22 | -73.33 | 0.53 |      49     |   78.22    |
|  Gen 36  | 50.67 | -75.30 | 0.53 |      46     |   79.56    |
|  Gen 37  | 47.56 | -69.33 | 0.54 |      48     |   78.67    |
|  Gen 38  | 49.78 | -72.03 | 0.53 |      51     |   77.33    |
|  Gen 39  | 51.11 | -71.87 | 0.53 |      60     |   72.89    |
|  Gen 40  | 49.33 | -74.17 | 0.53 |      57     |   74.67    |
|  Gen 41  | 52.89 | -80.93 | 0.52 |      60     |   73.33    |
|  Gen 42  | 48.89 | -65.87 | 0.54 |      53     |   76.44    |
|  Gen 43  | 52.00 | -80.30 | 0.51 |      59     |   73.33    |
|  Gen 44  | 49.33 | -69.30 | 0.53 |      56     |   75.11    |
|  Gen 45  | 50.22 | -75.00 | 0.52 |      52     |   76.89    |
|  Gen 46  | 49.33 | -77.33 | 0.52 |      46     |   79.56    |
|  Gen 47  | 50.67 | -75.17 | 0.52 |      53     |   76.44    |
|  Gen 48  | 50.67 | -70.30 | 0.53 |      57     |   74.22    |
|  Gen 49  | 49.78 | -68.97 | 0.53 |      56     |   74.67    |
|  Gen 50  | 51.11 | -72.90 | 0.52 |      59     |   73.33    |
| Best GC  | 53.78 | -76.40 | 0.58 |      58     |   74.22    |
| Best MFE | 52.44 | -87.60 | 0.57 |      52     |   76.89    |
| Best CAI | 51.11 | -86.70 | 0.62 |      47     |   78.67    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
