+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 48.44 | -70.50 | 0.52 |      55     |   75.56    |
|  Gen 2   | 51.11 | -75.30 | 0.51 |      52     |   76.89    |
|  Gen 3   | 52.00 | -82.60 | 0.50 |      60     |   72.89    |
|  Gen 4   | 51.56 | -74.07 | 0.51 |      50     |   77.78    |
|  Gen 5   | 52.89 | -76.10 | 0.51 |      58     |   74.22    |
|  Gen 6   | 52.00 | -80.90 | 0.50 |      56     |   75.11    |
|  Gen 7   | 51.56 | -87.60 | 0.49 |      54     |   75.56    |
|  Gen 8   | 50.22 | -79.33 | 0.50 |      56     |   75.11    |
|  Gen 9   | 54.67 | -77.73 | 0.50 |      60     |   72.89    |
|  Gen 10  | 52.44 | -75.13 | 0.51 |      57     |   74.67    |
|  Gen 11  | 49.78 | -75.80 | 0.50 |      50     |   77.78    |
|  Gen 12  | 50.67 | -82.50 | 0.49 |      61     |   72.89    |
|  Gen 13  | 52.00 | -81.10 | 0.49 |      57     |   74.22    |
|  Gen 14  | 51.11 | -72.20 | 0.50 |      53     |   76.00    |
|  Gen 15  | 52.44 | -75.70 | 0.50 |      62     |   72.44    |
|  Gen 16  | 47.56 | -71.00 | 0.50 |      55     |   75.11    |
|  Gen 17  | 51.11 | -77.40 | 0.49 |      62     |   72.44    |
|  Gen 18  | 50.67 | -74.30 | 0.49 |      50     |   77.78    |
|  Gen 19  | 50.67 | -69.20 | 0.50 |      53     |   76.00    |
|  Gen 20  | 51.11 | -81.53 | 0.48 |      59     |   73.78    |
|  Gen 21  | 48.89 | -76.73 | 0.49 |      58     |   74.22    |
|  Gen 22  | 50.67 | -75.60 | 0.49 |      53     |   76.00    |
|  Gen 23  | 50.22 | -80.30 | 0.48 |      49     |   78.22    |
|  Gen 24  | 49.33 | -75.20 | 0.49 |      53     |   76.44    |
|  Gen 25  | 49.78 | -72.53 | 0.49 |      57     |   74.22    |
|  Gen 26  | 51.11 | -77.77 | 0.48 |      50     |   77.78    |
|  Gen 27  | 50.67 | -82.90 | 0.47 |      53     |   76.44    |
|  Gen 28  | 48.89 | -70.97 | 0.49 |      51     |   76.89    |
|  Gen 29  | 50.67 | -75.47 | 0.48 |      52     |   76.89    |
|  Gen 30  | 48.89 | -68.70 | 0.49 |      50     |   77.78    |
|  Gen 31  | 47.56 | -75.60 | 0.48 |      59     |   73.33    |
|  Gen 32  | 49.33 | -70.20 | 0.49 |      54     |   76.00    |
|  Gen 33  | 50.22 | -72.20 | 0.48 |      57     |   74.22    |
|  Gen 34  | 51.11 | -81.47 | 0.47 |      58     |   73.78    |
|  Gen 35  | 50.67 | -77.57 | 0.47 |      54     |   75.56    |
|  Gen 36  | 50.22 | -68.47 | 0.49 |      57     |   74.67    |
|  Gen 37  | 51.11 | -75.90 | 0.47 |      54     |   76.00    |
|  Gen 38  | 49.78 | -74.27 | 0.48 |      57     |   74.22    |
|  Gen 39  | 48.44 | -73.20 | 0.48 |      55     |   75.56    |
|  Gen 40  | 50.22 | -69.70 | 0.48 |      55     |   75.56    |
|  Gen 41  | 52.00 | -75.70 | 0.47 |      51     |   77.33    |
|  Gen 42  | 48.89 | -75.93 | 0.47 |      48     |   78.67    |
|  Gen 43  | 49.78 | -72.20 | 0.48 |      48     |   78.22    |
|  Gen 44  | 51.56 | -73.63 | 0.48 |      55     |   75.11    |
|  Gen 45  | 51.11 | -73.37 | 0.48 |      53     |   76.00    |
|  Gen 46  | 49.33 | -71.60 | 0.48 |      55     |   75.56    |
|  Gen 47  | 50.22 | -76.67 | 0.47 |      54     |   75.56    |
|  Gen 48  | 48.00 | -79.80 | 0.46 |      55     |   75.11    |
|  Gen 49  | 50.22 | -70.90 | 0.48 |      50     |   77.78    |
|  Gen 50  | 51.56 | -77.50 | 0.47 |      46     |   79.56    |
| Best GC  | 54.67 | -77.73 | 0.50 |      60     |   72.89    |
| Best MFE | 51.56 | -87.60 | 0.49 |      54     |   75.56    |
| Best CAI | 48.44 | -70.50 | 0.52 |      55     |   75.56    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
