+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 50.67 | -65.10 | 0.62 |      45     |   80.00    |
|  Gen 2   | 51.56 | -77.27 | 0.59 |      54     |   76.00    |
|  Gen 3   | 50.67 | -79.97 | 0.58 |      51     |   77.33    |
|  Gen 4   | 51.56 | -79.87 | 0.58 |      46     |   79.56    |
|  Gen 5   | 47.56 | -71.70 | 0.59 |      44     |   80.44    |
|  Gen 6   | 50.22 | -85.63 | 0.56 |      51     |   77.33    |
|  Gen 7   | 52.89 | -71.30 | 0.58 |      56     |   74.22    |
|  Gen 8   | 50.67 | -76.70 | 0.57 |      54     |   75.56    |
|  Gen 9   | 53.78 | -69.90 | 0.58 |      57     |   74.67    |
|  Gen 10  | 51.11 | -78.70 | 0.56 |      51     |   77.33    |
|  Gen 11  | 49.78 | -79.30 | 0.56 |      49     |   78.22    |
|  Gen 12  | 50.22 | -73.27 | 0.57 |      45     |   80.00    |
|  Gen 13  | 50.67 | -76.40 | 0.56 |      50     |   76.89    |
|  Gen 14  | 50.22 | -76.90 | 0.56 |      57     |   74.22    |
|  Gen 15  | 49.33 | -67.30 | 0.57 |      53     |   76.44    |
|  Gen 16  | 48.44 | -75.33 | 0.55 |      51     |   77.33    |
|  Gen 17  | 50.67 | -85.80 | 0.54 |      48     |   78.67    |
|  Gen 18  | 52.00 | -77.67 | 0.55 |      52     |   76.89    |
|  Gen 19  | 49.78 | -74.90 | 0.55 |      53     |   76.44    |
|  Gen 20  | 47.56 | -68.63 | 0.55 |      51     |   77.33    |
|  Gen 21  | 49.33 | -70.13 | 0.54 |      54     |   75.56    |
|  Gen 22  | 49.78 | -74.57 | 0.54 |      50     |   77.78    |
|  Gen 23  | 48.44 | -68.37 | 0.54 |      42     |   81.33    |
|  Gen 24  | 50.67 | -65.97 | 0.55 |      57     |   74.22    |
|  Gen 25  | 47.56 | -72.23 | 0.54 |      49     |   77.78    |
|  Gen 26  | 52.89 | -74.13 | 0.53 |      56     |   74.67    |
|  Gen 27  | 51.11 | -82.60 | 0.52 |      49     |   77.78    |
|  Gen 28  | 49.33 | -77.70 | 0.53 |      53     |   76.44    |
|  Gen 29  | 49.78 | -73.00 | 0.53 |      50     |   77.33    |
|  Gen 30  | 52.44 | -75.27 | 0.53 |      53     |   76.44    |
|  Gen 31  | 48.00 | -76.33 | 0.52 |      55     |   75.56    |
|  Gen 32  | 51.11 | -71.80 | 0.53 |      51     |   76.00    |
|  Gen 33  | 48.44 | -72.93 | 0.53 |      54     |   76.00    |
|  Gen 34  | 52.00 | -79.87 | 0.52 |      54     |   75.56    |
|  Gen 35  | 51.56 | -70.20 | 0.53 |      51     |   77.33    |
|  Gen 36  | 48.00 | -76.70 | 0.52 |      44     |   80.44    |
|  Gen 37  | 44.89 | -75.87 | 0.52 |      52     |   76.00    |
|  Gen 38  | 49.78 | -79.80 | 0.51 |      56     |   75.11    |
|  Gen 39  | 48.44 | -69.10 | 0.53 |      46     |   79.56    |
|  Gen 40  | 51.56 | -76.70 | 0.51 |      56     |   75.11    |
|  Gen 41  | 49.78 | -71.93 | 0.52 |      58     |   74.22    |
|  Gen 42  | 50.67 | -72.90 | 0.52 |      46     |   79.56    |
|  Gen 43  | 47.56 | -69.57 | 0.52 |      56     |   75.11    |
|  Gen 44  | 49.78 | -75.23 | 0.51 |      46     |   79.11    |
|  Gen 45  | 50.67 | -75.10 | 0.51 |      55     |   75.56    |
|  Gen 46  | 50.22 | -81.50 | 0.50 |      49     |   78.22    |
|  Gen 47  | 47.56 | -77.70 | 0.51 |      55     |   75.56    |
|  Gen 48  | 49.33 | -76.20 | 0.51 |      51     |   76.89    |
|  Gen 49  | 48.00 | -75.70 | 0.51 |      54     |   75.56    |
|  Gen 50  | 49.33 | -77.57 | 0.51 |      61     |   72.89    |
| Best GC  | 53.78 | -69.90 | 0.58 |      57     |   74.67    |
| Best MFE | 50.67 | -85.80 | 0.54 |      48     |   78.67    |
| Best CAI | 50.67 | -65.10 | 0.62 |      45     |   80.00    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
