+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 48.23 | -184.23 | 0.52 |      98     |   76.83    |
|  Gen 2   | 47.52 | -184.30 | 0.49 |      95     |   77.54    |
|  Gen 3   | 48.23 | -180.90 | 0.51 |      99     |   76.60    |
|  Gen 4   | 47.28 | -181.17 | 0.50 |      95     |   77.30    |
|  Gen 5   | 46.81 | -181.30 | 0.53 |      96     |   77.07    |
|  Gen 6   | 47.99 | -179.97 | 0.51 |      97     |   77.07    |
|  Gen 7   | 47.75 | -180.00 | 0.54 |      93     |   78.01    |
|  Gen 8   | 46.81 | -180.67 | 0.53 |      97     |   77.07    |
|  Gen 9   | 47.75 | -179.57 | 0.56 |      96     |   77.30    |
|  Gen 10  | 48.46 | -178.60 | 0.54 |      94     |   77.78    |
|  Gen 11  | 47.99 | -178.23 | 0.53 |      94     |   77.78    |
|  Gen 12  | 47.52 | -178.63 | 0.50 |      96     |   77.30    |
|  Gen 13  | 47.28 | -178.83 | 0.51 |      99     |   76.60    |
|  Gen 14  | 47.52 | -178.60 | 0.50 |      96     |   77.30    |
|  Gen 15  | 47.99 | -177.30 | 0.51 |      98     |   76.83    |
|  Gen 16  | 47.75 | -177.43 | 0.54 |      94     |   77.78    |
|  Gen 17  | 46.81 | -178.17 | 0.52 |      99     |   76.36    |
|  Gen 18  | 47.52 | -177.47 | 0.50 |      99     |   76.60    |
|  Gen 19  | 48.23 | -176.67 | 0.52 |      94     |   77.78    |
|  Gen 20  | 47.52 | -177.33 | 0.52 |      95     |   77.54    |
|  Gen 21  | 47.99 | -176.73 | 0.52 |      98     |   76.83    |
|  Gen 22  | 47.99 | -176.63 | 0.52 |     102     |   75.89    |
|  Gen 23  | 47.52 | -176.97 | 0.52 |      97     |   77.07    |
|  Gen 24  | 47.04 | -177.30 | 0.52 |      97     |   77.07    |
|  Gen 25  | 47.52 | -176.53 | 0.52 |      97     |   77.07    |
|  Gen 26  | 47.99 | -176.03 | 0.53 |      93     |   78.01    |
|  Gen 27  | 47.28 | -176.63 | 0.54 |      99     |   76.60    |
|  Gen 28  | 47.99 | -175.67 | 0.53 |      95     |   77.54    |
|  Gen 29  | 47.75 | -175.83 | 0.53 |      97     |   77.07    |
|  Gen 30  | 47.99 | -175.50 | 0.50 |      99     |   76.60    |
|  Gen 31  | 47.75 | -175.53 | 0.53 |      96     |   77.30    |
|  Gen 32  | 48.23 | -175.03 | 0.54 |      99     |   76.36    |
|  Gen 33  | 47.75 | -175.50 | 0.53 |      97     |   77.07    |
|  Gen 34  | 47.99 | -175.10 | 0.52 |      98     |   76.60    |
|  Gen 35  | 48.46 | -174.60 | 0.53 |     102     |   75.89    |
|  Gen 36  | 47.28 | -175.73 | 0.53 |     100     |   76.36    |
|  Gen 37  | 47.75 | -175.23 | 0.53 |      93     |   78.01    |
|  Gen 38  | 47.52 | -175.47 | 0.52 |      97     |   77.07    |
|  Gen 39  | 47.52 | -175.47 | 0.51 |      97     |   77.07    |
|  Gen 40  | 48.23 | -174.63 | 0.52 |     100     |   76.36    |
|  Gen 41  | 47.52 | -175.30 | 0.52 |      97     |   76.83    |
|  Gen 42  | 48.23 | -174.43 | 0.52 |      94     |   77.78    |
|  Gen 43  | 47.75 | -174.63 | 0.53 |      96     |   77.30    |
|  Gen 44  | 47.99 | -174.40 | 0.52 |      98     |   76.83    |
|  Gen 45  | 47.52 | -174.87 | 0.51 |     101     |   76.12    |
|  Gen 46  | 48.23 | -174.07 | 0.50 |      98     |   76.36    |
|  Gen 47  | 46.34 | -175.90 | 0.50 |      98     |   76.83    |
|  Gen 48  | 46.57 | -175.60 | 0.53 |      94     |   77.78    |
|  Gen 49  | 47.99 | -174.10 | 0.54 |     100     |   76.36    |
|  Gen 50  | 47.28 | -174.77 | 0.52 |      95     |   77.54    |
|  Gen 51  | 48.46 | -173.47 | 0.53 |      96     |   77.30    |
|  Gen 52  | 47.75 | -173.97 | 0.53 |      97     |   77.07    |
|  Gen 53  | 46.81 | -174.87 | 0.52 |      98     |   76.83    |
|  Gen 54  | 47.99 | -173.53 | 0.53 |      95     |   77.30    |
|  Gen 55  | 47.52 | -174.03 | 0.51 |     100     |   76.36    |
|  Gen 56  | 46.81 | -174.73 | 0.49 |     100     |   76.36    |
|  Gen 57  | 47.28 | -174.20 | 0.51 |      97     |   76.83    |
|  Gen 58  | 47.75 | -173.60 | 0.51 |      95     |   77.54    |
|  Gen 59  | 47.04 | -174.10 | 0.54 |      97     |   77.07    |
|  Gen 60  | 47.75 | -173.40 | 0.52 |      96     |   77.07    |
|  Gen 61  | 47.75 | -173.30 | 0.52 |      95     |   77.54    |
|  Gen 62  | 46.81 | -174.23 | 0.52 |      99     |   76.36    |
|  Gen 63  | 47.99 | -172.80 | 0.51 |      98     |   76.83    |
|  Gen 64  | 47.99 | -172.73 | 0.53 |      98     |   76.60    |
|  Gen 65  | 47.28 | -173.30 | 0.53 |      97     |   76.83    |
|  Gen 66  | 47.52 | -172.97 | 0.50 |      96     |   77.30    |
|  Gen 67  | 46.81 | -173.40 | 0.52 |      99     |   76.60    |
|  Gen 68  | 47.28 | -172.87 | 0.52 |      95     |   77.54    |
|  Gen 69  | 47.04 | -172.97 | 0.52 |      95     |   77.54    |
|  Gen 70  | 46.81 | -173.20 | 0.50 |      96     |   77.30    |
|  Gen 71  | 47.52 | -172.47 | 0.52 |     101     |   76.12    |
|  Gen 72  | 48.23 | -171.73 | 0.52 |      90     |   78.72    |
|  Gen 73  | 47.28 | -172.57 | 0.52 |     102     |   75.89    |
|  Gen 74  | 47.52 | -172.23 | 0.54 |      96     |   77.30    |
|  Gen 75  | 47.52 | -172.23 | 0.51 |      94     |   77.78    |
|  Gen 76  | 48.23 | -171.43 | 0.51 |     100     |   76.12    |
|  Gen 77  | 47.04 | -172.43 | 0.50 |      97     |   76.83    |
|  Gen 78  | 47.52 | -171.93 | 0.51 |      97     |   77.07    |
|  Gen 79  | 47.28 | -172.10 | 0.51 |      98     |   76.60    |
|  Gen 80  | 47.75 | -171.57 | 0.54 |      98     |   76.83    |
|  Gen 81  | 47.28 | -171.97 | 0.56 |      98     |   76.83    |
|  Gen 82  | 46.57 | -172.70 | 0.54 |      91     |   78.25    |
|  Gen 83  | 48.23 | -171.03 | 0.52 |      99     |   76.60    |
|  Gen 84  | 47.75 | -171.47 | 0.52 |      97     |   77.07    |
|  Gen 85  | 46.81 | -172.40 | 0.50 |      98     |   76.60    |
|  Gen 86  | 47.04 | -172.10 | 0.54 |     100     |   76.36    |
|  Gen 87  | 47.28 | -171.80 | 0.53 |      95     |   77.54    |
|  Gen 88  | 47.04 | -172.00 | 0.48 |      99     |   76.60    |
|  Gen 89  | 46.81 | -172.20 | 0.49 |     100     |   76.36    |
|  Gen 90  | 46.81 | -172.17 | 0.51 |      96     |   77.07    |
|  Gen 91  | 48.23 | -170.67 | 0.52 |      96     |   77.30    |
|  Gen 92  | 47.75 | -171.10 | 0.50 |      98     |   76.83    |
|  Gen 93  | 47.28 | -171.50 | 0.50 |      96     |   77.07    |
|  Gen 94  | 47.52 | -171.20 | 0.52 |     100     |   76.36    |
|  Gen 95  | 46.81 | -171.87 | 0.52 |      95     |   77.30    |
|  Gen 96  | 47.04 | -171.63 | 0.51 |      96     |   77.07    |
|  Gen 97  | 47.28 | -171.33 | 0.52 |      96     |   77.07    |
|  Gen 98  | 47.28 | -171.17 | 0.53 |      96     |   77.30    |
|  Gen 99  | 47.28 | -171.20 | 0.50 |      99     |   76.60    |
| Gen 100  | 47.04 | -171.33 | 0.50 |      98     |   76.83    |
| Best GC  | 48.46 | -178.60 | 0.54 |      94     |   77.78    |
| Best MFE | 47.52 | -184.30 | 0.49 |      95     |   77.54    |
| Best CAI | 47.75 | -179.57 | 0.56 |      96     |   77.30    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
