+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 52.89 | -85.60 | 0.61 |      59     |   73.33    |
|  Gen 2   | 51.56 | -83.57 | 0.59 |      52     |   76.00    |
|  Gen 3   | 51.56 | -79.87 | 0.59 |      49     |   78.22    |
|  Gen 4   | 50.67 | -75.10 | 0.60 |      45     |   79.56    |
|  Gen 5   | 50.22 | -77.63 | 0.58 |      49     |   78.22    |
|  Gen 6   | 52.44 | -79.97 | 0.57 |      48     |   77.78    |
|  Gen 7   | 48.44 | -71.27 | 0.58 |      49     |   78.22    |
|  Gen 8   | 48.89 | -76.07 | 0.56 |      57     |   74.67    |
|  Gen 9   | 49.33 | -80.33 | 0.56 |      49     |   77.78    |
|  Gen 10  | 49.33 | -86.73 | 0.55 |      49     |   78.22    |
|  Gen 11  | 50.67 | -78.97 | 0.56 |      42     |   81.33    |
|  Gen 12  | 47.11 | -73.97 | 0.56 |      46     |   79.56    |
|  Gen 13  | 51.56 | -81.57 | 0.54 |      51     |   77.33    |
|  Gen 14  | 51.11 | -74.90 | 0.55 |      49     |   77.78    |
|  Gen 15  | 48.89 | -76.10 | 0.55 |      56     |   74.67    |
|  Gen 16  | 51.56 | -84.47 | 0.53 |      49     |   77.78    |
|  Gen 17  | 48.00 | -80.57 | 0.53 |      57     |   74.67    |
|  Gen 18  | 49.78 | -72.40 | 0.54 |      56     |   75.11    |
|  Gen 19  | 48.00 | -72.40 | 0.54 |      50     |   76.89    |
|  Gen 20  | 46.67 | -77.50 | 0.53 |      46     |   79.56    |
|  Gen 21  | 51.11 | -72.90 | 0.54 |      51     |   77.33    |
|  Gen 22  | 52.89 | -72.80 | 0.53 |      57     |   74.67    |
|  Gen 23  | 51.11 | -81.83 | 0.52 |      54     |   76.00    |
|  Gen 24  | 48.44 | -77.03 | 0.52 |      48     |   78.67    |
|  Gen 25  | 48.44 | -75.13 | 0.53 |      51     |   76.89    |
|  Gen 26  | 49.78 | -78.13 | 0.52 |      59     |   73.78    |
|  Gen 27  | 50.22 | -76.27 | 0.52 |      54     |   76.00    |
|  Gen 28  | 48.44 | -64.07 | 0.54 |      52     |   76.89    |
|  Gen 29  | 49.33 | -81.00 | 0.51 |      54     |   76.00    |
|  Gen 30  | 49.33 | -71.97 | 0.53 |      54     |   75.56    |
|  Gen 31  | 47.56 | -64.00 | 0.54 |      46     |   79.56    |
|  Gen 32  | 48.44 | -77.03 | 0.52 |      57     |   74.67    |
|  Gen 33  | 49.33 | -73.57 | 0.52 |      50     |   77.78    |
|  Gen 34  | 47.56 | -63.10 | 0.54 |      53     |   76.44    |
|  Gen 35  | 47.56 | -68.00 | 0.53 |      52     |   76.89    |
|  Gen 36  | 50.22 | -76.93 | 0.51 |      52     |   76.89    |
|  Gen 37  | 49.78 | -76.13 | 0.51 |      48     |   78.67    |
|  Gen 38  | 50.22 | -75.13 | 0.51 |      53     |   76.44    |
|  Gen 39  | 51.56 | -72.27 | 0.52 |      57     |   73.78    |
|  Gen 40  | 49.78 | -76.03 | 0.51 |      61     |   72.89    |
|  Gen 41  | 47.11 | -76.70 | 0.51 |      56     |   75.11    |
|  Gen 42  | 49.33 | -64.20 | 0.53 |      60     |   73.33    |
|  Gen 43  | 49.33 | -67.90 | 0.52 |      51     |   76.89    |
|  Gen 44  | 47.56 | -67.70 | 0.52 |      52     |   76.89    |
|  Gen 45  | 47.11 | -67.90 | 0.52 |      55     |   75.56    |
|  Gen 46  | 48.00 | -79.53 | 0.50 |      52     |   76.44    |
|  Gen 47  | 49.33 | -73.10 | 0.51 |      45     |   80.00    |
|  Gen 48  | 50.22 | -71.00 | 0.51 |      56     |   74.67    |
|  Gen 49  | 50.22 | -73.10 | 0.50 |      51     |   77.33    |
|  Gen 50  | 48.89 | -78.53 | 0.50 |      50     |   77.78    |
| Best GC  | 52.89 | -85.60 | 0.61 |      59     |   73.33    |
| Best MFE | 49.33 | -86.73 | 0.55 |      49     |   78.22    |
| Best CAI | 52.89 | -85.60 | 0.61 |      59     |   73.33    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
