+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.78 | -85.87 | 0.62 |      56     |   75.11    |
|  Gen 2   | 51.56 | -79.83 | 0.62 |      54     |   75.56    |
|  Gen 3   | 52.44 | -86.93 | 0.61 |      48     |   78.22    |
|  Gen 4   | 50.67 | -77.67 | 0.60 |      48     |   78.67    |
|  Gen 5   | 51.56 | -82.20 | 0.58 |      56     |   74.67    |
|  Gen 6   | 48.89 | -68.17 | 0.60 |      50     |   77.78    |
|  Gen 7   | 51.11 | -80.47 | 0.58 |      45     |   80.00    |
|  Gen 8   | 49.78 | -74.07 | 0.59 |      59     |   73.78    |
|  Gen 9   | 52.00 | -74.80 | 0.59 |      46     |   79.56    |
|  Gen 10  | 52.44 | -81.57 | 0.56 |      51     |   77.33    |
|  Gen 11  | 52.44 | -78.20 | 0.57 |      50     |   77.33    |
|  Gen 12  | 53.33 | -79.60 | 0.56 |      59     |   73.78    |
|  Gen 13  | 49.78 | -74.50 | 0.56 |      55     |   75.56    |
|  Gen 14  | 50.22 | -74.10 | 0.56 |      54     |   76.00    |
|  Gen 15  | 52.44 | -77.40 | 0.56 |      50     |   77.33    |
|  Gen 16  | 51.56 | -72.30 | 0.57 |      51     |   76.89    |
|  Gen 17  | 50.67 | -77.13 | 0.56 |      47     |   78.67    |
|  Gen 18  | 48.00 | -76.70 | 0.56 |      53     |   76.44    |
|  Gen 19  | 51.56 | -73.60 | 0.56 |      47     |   78.67    |
|  Gen 20  | 48.44 | -76.67 | 0.55 |      54     |   76.00    |
|  Gen 21  | 48.44 | -75.10 | 0.55 |      48     |   78.22    |
|  Gen 22  | 50.22 | -76.03 | 0.55 |      51     |   76.89    |
|  Gen 23  | 50.67 | -82.90 | 0.54 |      55     |   75.56    |
|  Gen 24  | 49.33 | -73.30 | 0.55 |      50     |   77.78    |
|  Gen 25  | 51.11 | -81.17 | 0.54 |      57     |   73.78    |
|  Gen 26  | 50.67 | -81.17 | 0.53 |      55     |   75.56    |
|  Gen 27  | 49.78 | -74.80 | 0.54 |      55     |   74.67    |
|  Gen 28  | 50.22 | -80.00 | 0.53 |      57     |   74.67    |
|  Gen 29  | 48.44 | -75.00 | 0.54 |      49     |   78.22    |
|  Gen 30  | 51.56 | -77.10 | 0.53 |      59     |   73.78    |
|  Gen 31  | 48.00 | -78.97 | 0.53 |      52     |   76.44    |
|  Gen 32  | 48.89 | -66.80 | 0.55 |      51     |   77.33    |
|  Gen 33  | 51.11 | -77.07 | 0.53 |      49     |   76.89    |
|  Gen 34  | 48.89 | -81.80 | 0.52 |      52     |   76.44    |
|  Gen 35  | 52.00 | -76.30 | 0.53 |      57     |   74.22    |
|  Gen 36  | 49.33 | -77.27 | 0.53 |      56     |   74.67    |
|  Gen 37  | 49.78 | -74.30 | 0.53 |      43     |   80.89    |
|  Gen 38  | 50.67 | -64.07 | 0.54 |      51     |   77.33    |
|  Gen 39  | 48.44 | -76.40 | 0.52 |      53     |   76.44    |
|  Gen 40  | 51.56 | -65.80 | 0.54 |      55     |   75.56    |
|  Gen 41  | 47.56 | -68.30 | 0.53 |      53     |   76.00    |
|  Gen 42  | 45.78 | -74.53 | 0.52 |      52     |   76.89    |
|  Gen 43  | 47.11 | -69.80 | 0.53 |      50     |   77.33    |
|  Gen 44  | 49.78 | -72.10 | 0.52 |      56     |   75.11    |
|  Gen 45  | 52.00 | -76.70 | 0.52 |      45     |   80.00    |
|  Gen 46  | 50.67 | -72.47 | 0.52 |      56     |   75.11    |
|  Gen 47  | 50.67 | -77.80 | 0.51 |      62     |   72.44    |
|  Gen 48  | 48.89 | -72.10 | 0.52 |      53     |   76.44    |
|  Gen 49  | 49.78 | -76.60 | 0.51 |      47     |   79.11    |
|  Gen 50  | 49.78 | -74.97 | 0.52 |      49     |   78.22    |
| Best GC  | 53.78 | -85.87 | 0.62 |      56     |   75.11    |
| Best MFE | 52.44 | -86.93 | 0.61 |      48     |   78.22    |
| Best CAI | 51.56 | -79.83 | 0.62 |      54     |   75.56    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
