+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 50.59 | -169.77 | 0.53 |     113     |   73.05    |
|  Gen 2   | 51.77 | -180.33 | 0.51 |     106     |   74.47    |
|  Gen 3   | 51.06 | -177.33 | 0.51 |     109     |   73.52    |
|  Gen 4   | 49.88 | -165.93 | 0.53 |     111     |   73.76    |
|  Gen 5   | 49.88 | -169.43 | 0.52 |      83     |   80.14    |
|  Gen 6   | 52.48 | -182.87 | 0.50 |     106     |   74.94    |
|  Gen 7   | 51.77 | -160.93 | 0.53 |     100     |   76.12    |
|  Gen 8   | 51.54 | -167.13 | 0.51 |     102     |   75.65    |
|  Gen 9   | 50.59 | -172.57 | 0.50 |     105     |   75.18    |
|  Gen 10  | 50.12 | -160.60 | 0.52 |     100     |   75.89    |
|  Gen 11  | 48.94 | -168.63 | 0.50 |     109     |   73.76    |
|  Gen 12  | 50.83 | -165.43 | 0.51 |      99     |   76.36    |
|  Gen 13  | 53.19 | -160.70 | 0.52 |     106     |   74.94    |
|  Gen 14  | 50.59 | -167.93 | 0.50 |     106     |   74.94    |
|  Gen 15  | 50.59 | -162.40 | 0.51 |     105     |   74.94    |
|  Gen 16  | 48.70 | -155.97 | 0.52 |      97     |   76.83    |
|  Gen 17  | 48.46 | -161.73 | 0.51 |     100     |   76.36    |
|  Gen 18  | 49.65 | -162.70 | 0.50 |     102     |   75.65    |
|  Gen 19  | 48.94 | -157.47 | 0.51 |     113     |   73.05    |
|  Gen 20  | 50.83 | -167.10 | 0.49 |      91     |   78.25    |
|  Gen 21  | 48.70 | -164.60 | 0.50 |      96     |   77.30    |
|  Gen 22  | 50.83 | -163.73 | 0.50 |     107     |   74.70    |
|  Gen 23  | 50.35 | -165.70 | 0.50 |     104     |   75.18    |
|  Gen 24  | 51.06 | -167.00 | 0.49 |     100     |   76.12    |
|  Gen 25  | 51.54 | -168.83 | 0.49 |     106     |   74.94    |
|  Gen 26  | 50.35 | -159.47 | 0.50 |     103     |   75.41    |
|  Gen 27  | 49.88 | -162.67 | 0.49 |     106     |   74.47    |
|  Gen 28  | 50.35 | -169.77 | 0.48 |     111     |   73.29    |
|  Gen 29  | 53.19 | -170.90 | 0.48 |     105     |   74.94    |
|  Gen 30  | 51.77 | -163.50 | 0.49 |     107     |   74.70    |
|  Gen 31  | 51.77 | -163.63 | 0.49 |     105     |   74.94    |
|  Gen 32  | 49.65 | -158.13 | 0.50 |     105     |   74.70    |
|  Gen 33  | 51.30 | -165.20 | 0.48 |     101     |   75.65    |
|  Gen 34  | 49.17 | -164.67 | 0.49 |     108     |   74.23    |
|  Gen 35  | 50.12 | -159.60 | 0.49 |     115     |   72.81    |
|  Gen 36  | 51.77 | -155.40 | 0.50 |     102     |   75.41    |
|  Gen 37  | 49.65 | -155.37 | 0.50 |     105     |   74.94    |
|  Gen 38  | 49.41 | -159.77 | 0.49 |      99     |   76.36    |
|  Gen 39  | 52.25 | -166.47 | 0.48 |      99     |   76.60    |
|  Gen 40  | 47.99 | -161.00 | 0.49 |     104     |   75.41    |
|  Gen 41  | 49.17 | -158.50 | 0.49 |     112     |   73.05    |
|  Gen 42  | 51.30 | -167.93 | 0.47 |      94     |   77.78    |
|  Gen 43  | 49.65 | -163.07 | 0.48 |      99     |   76.36    |
|  Gen 44  | 49.17 | -162.93 | 0.48 |     107     |   74.47    |
|  Gen 45  | 50.83 | -155.77 | 0.49 |     104     |   75.41    |
|  Gen 46  | 51.30 | -161.50 | 0.48 |      99     |   76.12    |
|  Gen 47  | 48.70 | -167.43 | 0.47 |     104     |   74.94    |
|  Gen 48  | 49.41 | -165.20 | 0.47 |     104     |   75.41    |
|  Gen 49  | 49.17 | -170.90 | 0.46 |      96     |   76.60    |
|  Gen 50  | 50.35 | -162.93 | 0.47 |      92     |   78.25    |
| Best GC  | 53.19 | -170.90 | 0.48 |     105     |   74.94    |
| Best MFE | 52.48 | -182.87 | 0.50 |     106     |   74.94    |
| Best CAI | 50.59 | -169.77 | 0.53 |     113     |   73.05    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
