+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.33 | -53.53 | 0.62 |      33     |   80.00    |
|  Gen 2   | 52.73 | -52.10 | 0.60 |      42     |   73.94    |
|  Gen 3   | 55.76 | -59.83 | 0.59 |      39     |   76.36    |
|  Gen 4   | 53.33 | -58.80 | 0.59 |      37     |   77.58    |
|  Gen 5   | 50.91 | -47.30 | 0.61 |      35     |   78.18    |
|  Gen 6   | 49.70 | -48.60 | 0.60 |      32     |   80.61    |
|  Gen 7   | 50.91 | -54.90 | 0.59 |      42     |   74.55    |
|  Gen 8   | 52.12 | -56.20 | 0.59 |      37     |   77.58    |
|  Gen 9   | 50.30 | -59.90 | 0.58 |      43     |   73.94    |
|  Gen 10  | 48.48 | -61.60 | 0.57 |      35     |   78.18    |
|  Gen 11  | 50.91 | -51.47 | 0.59 |      36     |   78.18    |
|  Gen 12  | 52.12 | -61.43 | 0.57 |      33     |   80.00    |
|  Gen 13  | 52.12 | -59.40 | 0.57 |      42     |   74.55    |
|  Gen 14  | 51.52 | -55.20 | 0.57 |      39     |   76.36    |
|  Gen 15  | 53.33 | -52.00 | 0.58 |      44     |   73.33    |
|  Gen 16  | 52.73 | -54.67 | 0.57 |      30     |   81.82    |
|  Gen 17  | 53.94 | -52.80 | 0.57 |      41     |   75.15    |
|  Gen 18  | 50.30 | -47.73 | 0.57 |      37     |   77.58    |
|  Gen 19  | 49.09 | -44.90 | 0.58 |      40     |   75.76    |
|  Gen 20  | 50.30 | -50.67 | 0.57 |      36     |   78.18    |
|  Gen 21  | 50.91 | -52.70 | 0.56 |      39     |   76.36    |
|  Gen 22  | 52.73 | -54.20 | 0.56 |      38     |   76.36    |
|  Gen 23  | 52.12 | -49.40 | 0.57 |      38     |   76.97    |
|  Gen 24  | 53.33 | -54.00 | 0.56 |      34     |   79.39    |
|  Gen 25  | 53.33 | -57.10 | 0.55 |      28     |   83.03    |
|  Gen 26  | 50.91 | -51.30 | 0.56 |      38     |   76.97    |
|  Gen 27  | 49.70 | -52.80 | 0.55 |      33     |   80.00    |
|  Gen 28  | 50.91 | -56.40 | 0.55 |      32     |   80.61    |
|  Gen 29  | 53.94 | -49.53 | 0.56 |      29     |   82.42    |
|  Gen 30  | 50.30 | -43.00 | 0.57 |      34     |   79.39    |
|  Gen 31  | 51.52 | -49.40 | 0.55 |      38     |   76.97    |
|  Gen 32  | 50.91 | -47.50 | 0.55 |      35     |   78.79    |
|  Gen 33  | 49.09 | -44.40 | 0.55 |      38     |   76.97    |
|  Gen 34  | 49.70 | -55.27 | 0.54 |      32     |   80.61    |
|  Gen 35  | 53.33 | -50.20 | 0.54 |      42     |   73.94    |
|  Gen 36  | 49.09 | -51.40 | 0.54 |      31     |   81.21    |
|  Gen 37  | 52.12 | -40.40 | 0.55 |      35     |   78.18    |
|  Gen 38  | 50.30 | -46.20 | 0.54 |      34     |   79.39    |
|  Gen 39  | 51.52 | -47.40 | 0.54 |      34     |   79.39    |
|  Gen 40  | 50.30 | -45.30 | 0.54 |      33     |   80.00    |
|  Gen 41  | 50.91 | -55.23 | 0.53 |      36     |   78.18    |
|  Gen 42  | 52.73 | -52.13 | 0.53 |      37     |   77.58    |
|  Gen 43  | 52.12 | -48.63 | 0.53 |      40     |   75.76    |
|  Gen 44  | 50.91 | -52.80 | 0.53 |      40     |   75.76    |
|  Gen 45  | 52.73 | -50.30 | 0.53 |      45     |   72.73    |
|  Gen 46  | 50.30 | -49.47 | 0.53 |      31     |   81.21    |
|  Gen 47  | 53.33 | -57.20 | 0.52 |      39     |   76.36    |
|  Gen 48  | 52.12 | -48.90 | 0.53 |      44     |   72.73    |
|  Gen 49  | 47.27 | -44.77 | 0.53 |      32     |   80.61    |
|  Gen 50  | 52.12 | -44.60 | 0.53 |      40     |   75.76    |
| Best GC  | 55.76 | -59.83 | 0.59 |      39     |   76.36    |
| Best MFE | 48.48 | -61.60 | 0.57 |      35     |   78.18    |
| Best CAI | 53.33 | -53.53 | 0.62 |      33     |   80.00    |
| Natural  | 44.85 | -46.70 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
