+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 40.43 | -151.77 | 0.35 |     106     |   74.70    |
|  Gen 2   | 41.13 | -150.23 | 0.37 |     102     |   75.89    |
|  Gen 3   | 40.66 | -149.67 | 0.36 |     103     |   75.41    |
|  Gen 4   | 41.13 | -148.60 | 0.36 |     105     |   75.18    |
|  Gen 5   | 42.08 | -147.27 | 0.36 |     101     |   75.89    |
|  Gen 6   | 41.37 | -147.17 | 0.39 |     105     |   75.18    |
|  Gen 7   | 40.43 | -147.47 | 0.36 |     104     |   75.18    |
|  Gen 8   | 40.19 | -147.67 | 0.37 |     106     |   74.94    |
|  Gen 9   | 40.90 | -146.87 | 0.35 |     107     |   74.70    |
|  Gen 10  | 42.32 | -145.40 | 0.38 |     107     |   74.47    |
|  Gen 11  | 41.84 | -144.83 | 0.37 |      98     |   76.83    |
|  Gen 12  | 40.43 | -145.87 | 0.36 |     106     |   74.94    |
|  Gen 13  | 39.48 | -146.80 | 0.36 |     104     |   75.41    |
|  Gen 14  | 40.66 | -145.33 | 0.37 |     104     |   75.18    |
|  Gen 15  | 41.61 | -144.37 | 0.36 |     106     |   74.94    |
|  Gen 16  | 40.43 | -145.50 | 0.37 |     108     |   74.47    |
|  Gen 17  | 41.84 | -144.03 | 0.36 |     107     |   74.70    |
|  Gen 18  | 40.90 | -144.73 | 0.38 |     106     |   74.70    |
|  Gen 19  | 41.61 | -143.97 | 0.36 |     109     |   74.23    |
|  Gen 20  | 40.90 | -144.30 | 0.37 |     103     |   75.65    |
|  Gen 21  | 41.13 | -143.93 | 0.37 |     102     |   75.89    |
|  Gen 22  | 39.95 | -145.07 | 0.35 |     104     |   75.41    |
|  Gen 23  | 40.90 | -144.07 | 0.35 |     106     |   74.94    |
|  Gen 24  | 41.13 | -143.57 | 0.37 |     110     |   74.00    |
|  Gen 25  | 41.61 | -143.07 | 0.37 |     101     |   76.12    |
|  Gen 26  | 41.84 | -142.73 | 0.36 |     107     |   74.70    |
|  Gen 27  | 41.37 | -143.00 | 0.37 |     107     |   74.70    |
|  Gen 28  | 40.90 | -143.43 | 0.36 |     106     |   74.94    |
|  Gen 29  | 40.43 | -143.90 | 0.36 |     104     |   75.41    |
|  Gen 30  | 40.66 | -143.47 | 0.36 |     107     |   74.70    |
|  Gen 31  | 40.43 | -143.57 | 0.35 |     105     |   75.18    |
|  Gen 32  | 40.43 | -143.50 | 0.35 |     106     |   74.94    |
|  Gen 33  | 40.90 | -142.77 | 0.36 |     107     |   74.70    |
|  Gen 34  | 40.19 | -143.43 | 0.36 |     112     |   73.52    |
|  Gen 35  | 41.37 | -142.20 | 0.38 |      99     |   76.60    |
|  Gen 36  | 39.95 | -143.60 | 0.36 |     107     |   74.70    |
|  Gen 37  | 40.19 | -143.27 | 0.36 |     103     |   75.65    |
|  Gen 38  | 40.66 | -142.77 | 0.37 |     105     |   75.18    |
|  Gen 39  | 39.72 | -143.47 | 0.34 |     105     |   75.18    |
|  Gen 40  | 40.90 | -142.17 | 0.36 |     107     |   74.47    |
|  Gen 41  | 39.72 | -143.00 | 0.35 |     102     |   75.65    |
|  Gen 42  | 41.37 | -141.27 | 0.37 |     105     |   75.18    |
|  Gen 43  | 41.13 | -141.33 | 0.37 |     103     |   75.41    |
|  Gen 44  | 41.84 | -140.50 | 0.38 |     106     |   74.94    |
|  Gen 45  | 40.19 | -142.17 | 0.36 |     104     |   75.41    |
|  Gen 46  | 39.95 | -142.40 | 0.35 |     103     |   75.65    |
|  Gen 47  | 41.84 | -140.50 | 0.35 |     106     |   74.94    |
|  Gen 48  | 39.72 | -142.27 | 0.36 |     104     |   75.18    |
|  Gen 49  | 40.43 | -141.47 | 0.35 |     107     |   74.70    |
|  Gen 50  | 41.37 | -140.33 | 0.37 |     105     |   75.18    |
|  Gen 51  | 39.01 | -142.70 | 0.34 |     107     |   74.70    |
