+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.11 | -85.93 | 0.61 |      52     |   76.89    |
|  Gen 2   | 51.11 | -78.30 | 0.60 |      50     |   77.78    |
|  Gen 3   | 51.56 | -76.83 | 0.60 |      51     |   76.89    |
|  Gen 4   | 53.78 | -76.70 | 0.60 |      53     |   76.44    |
|  Gen 5   | 52.89 | -79.30 | 0.59 |      52     |   76.89    |
|  Gen 6   | 49.78 | -83.40 | 0.58 |      46     |   79.11    |
|  Gen 7   | 51.11 | -78.20 | 0.59 |      51     |   77.33    |
|  Gen 8   | 51.56 | -73.30 | 0.59 |      57     |   74.67    |
|  Gen 9   | 52.00 | -79.43 | 0.58 |      50     |   77.78    |
|  Gen 10  | 50.22 | -74.77 | 0.56 |      50     |   77.78    |
|  Gen 11  | 50.67 | -81.20 | 0.55 |      51     |   77.33    |
|  Gen 12  | 49.33 | -79.20 | 0.55 |      55     |   75.56    |
|  Gen 13  | 48.89 | -71.30 | 0.56 |      47     |   79.11    |
|  Gen 14  | 50.22 | -83.70 | 0.54 |      52     |   76.89    |
|  Gen 15  | 48.44 | -74.50 | 0.55 |      43     |   80.89    |
|  Gen 16  | 51.56 | -83.37 | 0.54 |      51     |   77.33    |
|  Gen 17  | 50.67 | -79.10 | 0.54 |      52     |   76.89    |
|  Gen 18  | 50.22 | -68.70 | 0.56 |      46     |   79.56    |
|  Gen 19  | 52.44 | -78.43 | 0.54 |      55     |   75.56    |
|  Gen 20  | 52.89 | -75.27 | 0.55 |      54     |   76.00    |
|  Gen 21  | 50.22 | -71.57 | 0.55 |      44     |   80.44    |
|  Gen 22  | 48.89 | -75.17 | 0.54 |      56     |   74.22    |
|  Gen 23  | 48.89 | -73.40 | 0.55 |      58     |   74.22    |
|  Gen 24  | 47.11 | -73.40 | 0.55 |      58     |   74.22    |
|  Gen 25  | 48.00 | -85.87 | 0.53 |      44     |   80.44    |
|  Gen 26  | 49.33 | -72.83 | 0.54 |      48     |   78.67    |
|  Gen 27  | 49.78 | -74.90 | 0.54 |      54     |   76.00    |
|  Gen 28  | 49.33 | -70.20 | 0.54 |      43     |   80.89    |
|  Gen 29  | 50.22 | -72.30 | 0.54 |      50     |   77.78    |
|  Gen 30  | 48.89 | -76.97 | 0.53 |      45     |   80.00    |
|  Gen 31  | 48.89 | -74.90 | 0.53 |      57     |   74.67    |
|  Gen 32  | 49.78 | -76.20 | 0.53 |      58     |   73.78    |
|  Gen 33  | 51.11 | -76.10 | 0.53 |      56     |   75.11    |
|  Gen 34  | 49.78 | -73.07 | 0.53 |      50     |   77.78    |
|  Gen 35  | 50.22 | -76.10 | 0.52 |      55     |   75.11    |
|  Gen 36  | 45.33 | -64.23 | 0.54 |      52     |   76.89    |
|  Gen 37  | 48.44 | -78.40 | 0.52 |      55     |   75.56    |
|  Gen 38  | 50.22 | -76.87 | 0.52 |      48     |   78.67    |
|  Gen 39  | 48.44 | -76.40 | 0.52 |      61     |   72.89    |
|  Gen 40  | 50.22 | -78.57 | 0.52 |      52     |   76.89    |
|  Gen 41  | 46.67 | -77.50 | 0.51 |      56     |   74.67    |
|  Gen 42  | 51.56 | -73.50 | 0.52 |      61     |   72.89    |
|  Gen 43  | 49.33 | -64.67 | 0.53 |      57     |   74.22    |
|  Gen 44  | 48.89 | -71.40 | 0.52 |      50     |   77.33    |
|  Gen 45  | 46.22 | -71.63 | 0.52 |      53     |   76.44    |
|  Gen 46  | 51.56 | -66.20 | 0.53 |      50     |   76.89    |
|  Gen 47  | 47.11 | -80.60 | 0.51 |      53     |   76.44    |
|  Gen 48  | 48.89 | -66.60 | 0.53 |      47     |   79.11    |
|  Gen 49  | 48.44 | -75.40 | 0.51 |      54     |   76.00    |
|  Gen 50  | 48.89 | -75.10 | 0.51 |      52     |   76.89    |
| Best GC  | 53.78 | -76.70 | 0.60 |      53     |   76.44    |
| Best MFE | 51.11 | -85.93 | 0.61 |      52     |   76.89    |
| Best CAI | 51.11 | -85.93 | 0.61 |      52     |   76.89    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
