+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 48.83 | -278.30 | 0.53 |     156     |   77.19    |
|  Gen 2   | 51.32 | -275.97 | 0.52 |     155     |   77.05    |
|  Gen 3   | 49.12 | -281.33 | 0.51 |     147     |   78.36    |
|  Gen 4   | 50.15 | -286.27 | 0.50 |     163     |   76.02    |
|  Gen 5   | 48.83 | -266.77 | 0.52 |     173     |   74.71    |
|  Gen 6   | 48.68 | -279.90 | 0.50 |     178     |   73.54    |
|  Gen 7   | 50.73 | -273.60 | 0.51 |     159     |   76.32    |
|  Gen 8   | 47.81 | -270.10 | 0.51 |     158     |   76.61    |
|  Gen 9   | 47.08 | -266.47 | 0.51 |     164     |   75.88    |
|  Gen 10  | 49.85 | -275.07 | 0.50 |     167     |   75.29    |
|  Gen 11  | 50.15 | -273.33 | 0.50 |     174     |   74.12    |
|  Gen 12  | 50.00 | -277.87 | 0.49 |     188     |   72.51    |
|  Gen 13  | 47.37 | -272.23 | 0.50 |     166     |   75.73    |
|  Gen 14  | 48.54 | -266.30 | 0.51 |     168     |   75.29    |
|  Gen 15  | 48.98 | -279.60 | 0.48 |     175     |   73.83    |
|  Gen 16  | 47.81 | -279.77 | 0.48 |     171     |   74.42    |
|  Gen 17  | 47.22 | -270.87 | 0.49 |     168     |   75.15    |
|  Gen 18  | 49.71 | -273.27 | 0.49 |     170     |   75.00    |
|  Gen 19  | 50.00 | -269.63 | 0.49 |     153     |   77.34    |
|  Gen 20  | 46.78 | -261.77 | 0.50 |     172     |   74.71    |
|  Gen 21  | 47.22 | -264.60 | 0.50 |     152     |   77.49    |
|  Gen 22  | 49.27 | -273.90 | 0.49 |     157     |   76.90    |
|  Gen 23  | 49.12 | -270.63 | 0.49 |     167     |   75.15    |
|  Gen 24  | 49.12 | -276.20 | 0.48 |     169     |   75.15    |
|  Gen 25  | 48.54 | -261.03 | 0.50 |     166     |   75.73    |
|  Gen 26  | 46.64 | -262.73 | 0.50 |     160     |   76.17    |
|  Gen 27  | 49.56 | -259.03 | 0.50 |     164     |   75.88    |
|  Gen 28  | 47.95 | -268.57 | 0.49 |     161     |   76.17    |
|  Gen 29  | 48.10 | -267.27 | 0.49 |     178     |   73.98    |
|  Gen 30  | 49.56 | -286.70 | 0.46 |     171     |   74.71    |
|  Gen 31  | 48.83 | -267.67 | 0.49 |     162     |   75.88    |
|  Gen 32  | 50.29 | -279.73 | 0.47 |     148     |   78.22    |
|  Gen 33  | 48.39 | -271.10 | 0.48 |     178     |   73.83    |
|  Gen 34  | 47.51 | -267.87 | 0.48 |     168     |   75.29    |
|  Gen 35  | 49.42 | -259.30 | 0.50 |     169     |   75.29    |
|  Gen 36  | 48.10 | -266.70 | 0.48 |     171     |   75.00    |
|  Gen 37  | 47.22 | -262.57 | 0.49 |     171     |   75.00    |
|  Gen 38  | 48.39 | -272.17 | 0.48 |     165     |   75.88    |
|  Gen 39  | 47.95 | -269.17 | 0.48 |     184     |   72.95    |
|  Gen 40  | 48.68 | -264.93 | 0.49 |     155     |   77.34    |
|  Gen 41  | 48.98 | -262.47 | 0.49 |     154     |   77.34    |
|  Gen 42  | 48.54 | -261.73 | 0.49 |     178     |   73.54    |
|  Gen 43  | 48.68 | -279.80 | 0.46 |     173     |   74.12    |
|  Gen 44  | 47.95 | -272.47 | 0.47 |     171     |   74.85    |
|  Gen 45  | 47.81 | -263.17 | 0.48 |     165     |   75.44    |
|  Gen 46  | 48.83 | -261.17 | 0.48 |     162     |   76.32    |
|  Gen 47  | 48.25 | -265.23 | 0.48 |     158     |   76.61    |
|  Gen 48  | 48.68 | -266.03 | 0.48 |     171     |   74.56    |
|  Gen 49  | 51.02 | -264.13 | 0.48 |     170     |   75.00    |
|  Gen 50  | 48.10 | -276.30 | 0.46 |     162     |   76.17    |
| Best GC  | 51.32 | -275.97 | 0.52 |     155     |   77.05    |
| Best MFE | 49.56 | -286.70 | 0.46 |     171     |   74.71    |
| Best CAI | 48.83 | -278.30 | 0.53 |     156     |   77.19    |
| Natural  | 51.17 | -279.80 | 0.59 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
