+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 50.44 | -281.37 | 0.53 |     167     |   75.29    |
|  Gen 2   | 51.02 | -293.77 | 0.50 |     166     |   75.00    |
|  Gen 3   | 51.17 | -282.60 | 0.52 |     170     |   74.85    |
|  Gen 4   | 50.29 | -292.53 | 0.50 |     154     |   77.05    |
|  Gen 5   | 49.12 | -277.83 | 0.52 |     159     |   76.75    |
|  Gen 6   | 48.68 | -278.50 | 0.52 |     175     |   74.12    |
|  Gen 7   | 49.85 | -287.50 | 0.50 |     159     |   76.61    |
|  Gen 8   | 49.42 | -271.30 | 0.52 |     159     |   76.61    |
|  Gen 9   | 48.10 | -268.73 | 0.52 |     159     |   76.46    |
|  Gen 10  | 49.12 | -288.23 | 0.49 |     164     |   75.73    |
|  Gen 11  | 48.98 | -284.47 | 0.50 |     166     |   75.44    |
|  Gen 12  | 48.10 | -273.60 | 0.51 |     165     |   75.58    |
|  Gen 13  | 47.95 | -279.47 | 0.50 |     156     |   76.90    |
|  Gen 14  | 49.85 | -277.80 | 0.50 |     163     |   75.88    |
|  Gen 15  | 48.83 | -266.17 | 0.52 |     159     |   76.75    |
|  Gen 16  | 48.25 | -276.77 | 0.50 |     158     |   76.75    |
|  Gen 17  | 49.85 | -282.50 | 0.49 |     164     |   76.02    |
|  Gen 18  | 48.83 | -277.87 | 0.49 |     164     |   75.73    |
|  Gen 19  | 49.27 | -287.43 | 0.48 |     156     |   77.05    |
|  Gen 20  | 50.29 | -277.60 | 0.49 |     167     |   75.58    |
|  Gen 21  | 48.83 | -271.67 | 0.50 |     152     |   77.78    |
|  Gen 22  | 51.17 | -268.47 | 0.51 |     188     |   72.37    |
|  Gen 23  | 49.56 | -270.17 | 0.50 |     160     |   76.32    |
|  Gen 24  | 47.95 | -275.47 | 0.49 |     166     |   75.44    |
|  Gen 25  | 50.58 | -273.73 | 0.50 |     163     |   76.17    |
|  Gen 26  | 49.42 | -267.57 | 0.50 |     166     |   75.15    |
|  Gen 27  | 49.12 | -261.20 | 0.51 |     171     |   74.85    |
|  Gen 28  | 50.44 | -281.03 | 0.48 |     164     |   75.73    |
|  Gen 29  | 50.00 | -269.40 | 0.50 |     167     |   75.29    |
|  Gen 30  | 49.12 | -277.97 | 0.48 |     170     |   75.15    |
|  Gen 31  | 48.68 | -266.50 | 0.50 |     170     |   74.85    |
|  Gen 32  | 48.68 | -266.73 | 0.50 |     163     |   75.73    |
|  Gen 33  | 47.95 | -267.03 | 0.50 |     161     |   76.46    |
|  Gen 34  | 50.15 | -272.53 | 0.49 |     153     |   77.63    |
|  Gen 35  | 48.83 | -278.37 | 0.48 |     153     |   77.34    |
|  Gen 36  | 48.83 | -265.63 | 0.50 |     168     |   75.00    |
|  Gen 37  | 49.71 | -274.50 | 0.48 |     161     |   76.17    |
|  Gen 38  | 47.81 | -264.70 | 0.50 |     153     |   77.63    |
|  Gen 39  | 49.71 | -279.23 | 0.47 |     162     |   75.73    |
|  Gen 40  | 49.42 | -272.90 | 0.48 |     169     |   75.15    |
|  Gen 41  | 48.54 | -266.17 | 0.49 |     154     |   77.05    |
|  Gen 42  | 47.22 | -269.40 | 0.49 |     175     |   73.98    |
|  Gen 43  | 49.71 | -267.53 | 0.49 |     152     |   77.19    |
|  Gen 44  | 48.68 | -266.00 | 0.49 |     171     |   75.00    |
|  Gen 45  | 48.39 | -269.17 | 0.49 |     172     |   74.71    |
|  Gen 46  | 49.12 | -268.10 | 0.49 |     167     |   75.44    |
|  Gen 47  | 48.54 | -273.43 | 0.48 |     164     |   75.88    |
|  Gen 48  | 49.12 | -267.90 | 0.49 |     147     |   78.36    |
|  Gen 49  | 46.05 | -264.10 | 0.49 |     170     |   75.00    |
|  Gen 50  | 50.73 | -272.67 | 0.48 |     173     |   74.56    |
| Best GC  | 51.17 | -282.60 | 0.52 |     170     |   74.85    |
| Best MFE | 51.02 | -293.77 | 0.50 |     166     |   75.00    |
| Best CAI | 50.44 | -281.37 | 0.53 |     167     |   75.29    |
| Natural  | 51.17 | -279.80 | 0.59 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
