+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 49.88 | -171.07 | 0.55 |     109     |   73.76    |
|  Gen 2   | 51.54 | -170.80 | 0.54 |      99     |   76.60    |
|  Gen 3   | 50.35 | -166.40 | 0.54 |     104     |   75.41    |
|  Gen 4   | 49.65 | -159.73 | 0.53 |      94     |   77.78    |
|  Gen 5   | 48.23 | -148.10 | 0.53 |     102     |   75.65    |
|  Gen 6   | 50.59 | -155.73 | 0.52 |     109     |   74.23    |
|  Gen 7   | 49.88 | -163.97 | 0.52 |      94     |   77.54    |
|  Gen 8   | 49.88 | -151.10 | 0.52 |     101     |   75.65    |
|  Gen 9   | 48.23 | -153.20 | 0.52 |      99     |   76.12    |
|  Gen 10  | 49.88 | -157.87 | 0.52 |     105     |   74.94    |
|  Gen 11  | 50.35 | -160.53 | 0.51 |     102     |   75.65    |
|  Gen 12  | 49.41 | -154.00 | 0.51 |     101     |   75.65    |
|  Gen 13  | 50.59 | -168.70 | 0.51 |     114     |   73.05    |
|  Gen 14  | 49.88 | -157.00 | 0.50 |      96     |   77.07    |
|  Gen 15  | 50.35 | -173.20 | 0.50 |     109     |   74.23    |
|  Gen 16  | 48.46 | -166.87 | 0.50 |     103     |   75.41    |
|  Gen 17  | 49.17 | -161.27 | 0.50 |      91     |   78.49    |
|  Gen 18  | 49.88 | -158.30 | 0.50 |      97     |   76.60    |
|  Gen 19  | 49.88 | -166.87 | 0.50 |      95     |   77.30    |
|  Gen 20  | 49.65 | -163.73 | 0.50 |     110     |   73.76    |
|  Gen 21  | 50.59 | -155.17 | 0.49 |     107     |   74.47    |
|  Gen 22  | 46.81 | -153.03 | 0.49 |     101     |   75.65    |
|  Gen 23  | 49.65 | -156.10 | 0.49 |     102     |   75.89    |
|  Gen 24  | 49.41 | -160.80 | 0.49 |      95     |   76.36    |
|  Gen 25  | 47.52 | -160.83 | 0.49 |     101     |   75.89    |
|  Gen 26  | 47.99 | -157.70 | 0.49 |      96     |   77.30    |
|  Gen 27  | 47.99 | -155.30 | 0.49 |      94     |   77.30    |
|  Gen 28  | 46.81 | -161.13 | 0.49 |     101     |   76.12    |
|  Gen 29  | 49.17 | -154.90 | 0.49 |     107     |   74.47    |
|  Gen 30  | 48.46 | -160.50 | 0.49 |     110     |   74.00    |
|  Gen 31  | 49.65 | -150.40 | 0.49 |     104     |   74.94    |
|  Gen 32  | 47.52 | -151.60 | 0.48 |     102     |   75.89    |
|  Gen 33  | 49.65 | -155.63 | 0.48 |     109     |   74.00    |
|  Gen 34  | 49.17 | -147.80 | 0.48 |     102     |   75.41    |
|  Gen 35  | 50.35 | -170.47 | 0.48 |      96     |   77.07    |
|  Gen 36  | 47.75 | -168.80 | 0.48 |     112     |   73.52    |
|  Gen 37  | 46.81 | -153.27 | 0.48 |     100     |   75.89    |
|  Gen 38  | 47.99 | -143.50 | 0.48 |      98     |   76.60    |
|  Gen 39  | 46.81 | -155.83 | 0.48 |     109     |   73.76    |
|  Gen 40  | 48.23 | -155.67 | 0.48 |     104     |   75.18    |
|  Gen 41  | 47.52 | -145.60 | 0.48 |      99     |   76.36    |
|  Gen 42  | 48.46 | -158.93 | 0.48 |      98     |   76.60    |
|  Gen 43  | 49.17 | -171.70 | 0.48 |     109     |   74.00    |
|  Gen 44  | 48.94 | -159.90 | 0.47 |     103     |   75.41    |
|  Gen 45  | 49.17 | -153.70 | 0.47 |      95     |   77.30    |
|  Gen 46  | 49.65 | -173.27 | 0.47 |     102     |   75.89    |
|  Gen 47  | 46.57 | -153.63 | 0.47 |     106     |   74.94    |
|  Gen 48  | 49.65 | -153.47 | 0.47 |      99     |   75.89    |
|  Gen 49  | 46.57 | -154.20 | 0.47 |     106     |   74.70    |
|  Gen 50  | 50.59 | -160.90 | 0.47 |     108     |   74.47    |
| Best GC  | 51.54 | -170.80 | 0.54 |      99     |   76.60    |
| Best MFE | 49.65 | -173.27 | 0.47 |     102     |   75.89    |
| Best CAI | 49.88 | -171.07 | 0.55 |     109     |   73.76    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
