+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 52.44 | -82.50 | 0.60 |      53     |   76.44    |
|  Gen 2   | 53.33 | -82.30 | 0.59 |      56     |   75.11    |
|  Gen 3   | 49.78 | -80.20 | 0.59 |      55     |   75.56    |
|  Gen 4   | 52.89 | -87.30 | 0.58 |      60     |   73.33    |
|  Gen 5   | 54.67 | -78.63 | 0.59 |      55     |   75.11    |
|  Gen 6   | 49.78 | -76.93 | 0.58 |      44     |   80.44    |
|  Gen 7   | 49.33 | -78.70 | 0.58 |      43     |   80.89    |
|  Gen 8   | 52.44 | -80.20 | 0.57 |      45     |   80.00    |
|  Gen 9   | 50.22 | -72.17 | 0.58 |      47     |   79.11    |
|  Gen 10  | 53.33 | -84.97 | 0.56 |      50     |   77.33    |
|  Gen 11  | 53.78 | -82.30 | 0.56 |      56     |   75.11    |
|  Gen 12  | 51.56 | -79.00 | 0.56 |      56     |   75.11    |
|  Gen 13  | 52.44 | -73.20 | 0.56 |      52     |   76.89    |
|  Gen 14  | 48.00 | -76.47 | 0.56 |      47     |   79.11    |
|  Gen 15  | 49.33 | -81.40 | 0.55 |      53     |   76.00    |
|  Gen 16  | 53.33 | -81.10 | 0.55 |      53     |   76.00    |
|  Gen 17  | 51.11 | -79.20 | 0.55 |      57     |   74.67    |
|  Gen 18  | 53.33 | -73.87 | 0.56 |      51     |   77.33    |
|  Gen 19  | 51.56 | -80.30 | 0.55 |      48     |   78.22    |
|  Gen 20  | 49.78 | -73.70 | 0.56 |      47     |   79.11    |
|  Gen 21  | 50.22 | -80.07 | 0.54 |      58     |   73.78    |
|  Gen 22  | 53.33 | -84.10 | 0.54 |      54     |   76.00    |
|  Gen 23  | 49.78 | -74.40 | 0.55 |      51     |   77.33    |
|  Gen 24  | 51.11 | -76.60 | 0.54 |      48     |   78.67    |
|  Gen 25  | 51.11 | -73.93 | 0.55 |      50     |   77.78    |
|  Gen 26  | 50.67 | -71.37 | 0.55 |      51     |   76.00    |
|  Gen 27  | 49.33 | -83.83 | 0.53 |      64     |   70.67    |
|  Gen 28  | 49.78 | -71.50 | 0.55 |      55     |   75.56    |
|  Gen 29  | 48.44 | -76.60 | 0.54 |      47     |   79.11    |
|  Gen 30  | 49.33 | -74.70 | 0.54 |      50     |   77.33    |
|  Gen 31  | 51.56 | -79.70 | 0.53 |      56     |   74.67    |
|  Gen 32  | 48.44 | -74.90 | 0.53 |      50     |   77.78    |
|  Gen 33  | 48.00 | -74.77 | 0.53 |      52     |   76.89    |
|  Gen 34  | 48.89 | -76.00 | 0.53 |      50     |   77.78    |
|  Gen 35  | 48.44 | -74.67 | 0.53 |      49     |   77.78    |
|  Gen 36  | 49.33 | -77.30 | 0.53 |      42     |   81.33    |
|  Gen 37  | 52.44 | -71.80 | 0.54 |      57     |   74.22    |
|  Gen 38  | 47.56 | -75.13 | 0.53 |      47     |   78.67    |
|  Gen 39  | 47.11 | -72.73 | 0.53 |      50     |   77.33    |
|  Gen 40  | 46.67 | -78.30 | 0.52 |      45     |   79.56    |
|  Gen 41  | 48.89 | -77.07 | 0.52 |      50     |   77.78    |
|  Gen 42  | 51.56 | -74.30 | 0.53 |      45     |   80.00    |
|  Gen 43  | 48.00 | -79.50 | 0.52 |      59     |   73.78    |
|  Gen 44  | 52.00 | -76.60 | 0.52 |      53     |   76.44    |
|  Gen 45  | 48.44 | -76.97 | 0.52 |      47     |   78.67    |
|  Gen 46  | 50.67 | -85.53 | 0.51 |      55     |   75.56    |
|  Gen 47  | 50.22 | -70.70 | 0.53 |      47     |   78.67    |
|  Gen 48  | 48.00 | -69.53 | 0.53 |      53     |   76.44    |
|  Gen 49  | 50.22 | -72.70 | 0.53 |      51     |   77.33    |
|  Gen 50  | 49.33 | -71.30 | 0.53 |      54     |   76.00    |
| Best GC  | 54.67 | -78.63 | 0.59 |      55     |   75.11    |
| Best MFE | 52.89 | -87.30 | 0.58 |      60     |   73.33    |
| Best CAI | 52.44 | -82.50 | 0.60 |      53     |   76.44    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
