+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.33 | -83.33 | 0.59 |      52     |   76.89    |
|  Gen 2   | 52.89 | -80.90 | 0.59 |      51     |   76.89    |
|  Gen 3   | 50.67 | -75.10 | 0.60 |      48     |   78.22    |
|  Gen 4   | 52.44 | -67.67 | 0.61 |      49     |   78.22    |
|  Gen 5   | 52.44 | -80.80 | 0.58 |      49     |   77.78    |
|  Gen 6   | 49.33 | -83.63 | 0.57 |      44     |   80.44    |
|  Gen 7   | 52.44 | -83.70 | 0.56 |      47     |   79.11    |
|  Gen 8   | 50.67 | -84.77 | 0.56 |      49     |   78.22    |
|  Gen 9   | 52.44 | -85.30 | 0.56 |      48     |   78.67    |
|  Gen 10  | 52.00 | -79.13 | 0.57 |      46     |   79.56    |
|  Gen 11  | 50.22 | -81.77 | 0.56 |      50     |   77.78    |
|  Gen 12  | 49.33 | -87.80 | 0.55 |      56     |   75.11    |
|  Gen 13  | 51.11 | -74.90 | 0.57 |      53     |   76.00    |
|  Gen 14  | 50.22 | -80.20 | 0.56 |      50     |   77.78    |
|  Gen 15  | 51.56 | -76.10 | 0.56 |      57     |   74.22    |
|  Gen 16  | 51.56 | -79.67 | 0.55 |      50     |   77.33    |
|  Gen 17  | 51.56 | -84.33 | 0.54 |      58     |   74.22    |
|  Gen 18  | 50.67 | -75.00 | 0.55 |      54     |   75.11    |
|  Gen 19  | 48.89 | -76.30 | 0.55 |      55     |   75.56    |
|  Gen 20  | 52.00 | -87.20 | 0.53 |      53     |   76.44    |
|  Gen 21  | 53.33 | -80.50 | 0.54 |      47     |   79.11    |
|  Gen 22  | 49.33 | -73.60 | 0.55 |      58     |   74.22    |
|  Gen 23  | 52.44 | -80.93 | 0.54 |      48     |   78.67    |
|  Gen 24  | 51.11 | -77.83 | 0.54 |      55     |   75.56    |
|  Gen 25  | 50.67 | -71.40 | 0.55 |      50     |   77.78    |
|  Gen 26  | 49.78 | -78.00 | 0.54 |      44     |   80.00    |
|  Gen 27  | 52.44 | -84.30 | 0.53 |      44     |   80.44    |
|  Gen 28  | 50.22 | -71.73 | 0.55 |      54     |   76.00    |
|  Gen 29  | 50.22 | -83.30 | 0.53 |      56     |   75.11    |
|  Gen 30  | 49.78 | -76.03 | 0.54 |      51     |   76.44    |
|  Gen 31  | 50.67 | -75.87 | 0.54 |      46     |   79.56    |
|  Gen 32  | 49.78 | -74.60 | 0.54 |      50     |   77.33    |
|  Gen 33  | 52.44 | -73.00 | 0.54 |      56     |   74.67    |
|  Gen 34  | 50.67 | -78.40 | 0.53 |      58     |   73.78    |
|  Gen 35  | 51.11 | -77.37 | 0.53 |      47     |   79.11    |
|  Gen 36  | 52.00 | -71.63 | 0.54 |      58     |   73.78    |
|  Gen 37  | 47.56 | -70.80 | 0.54 |      46     |   79.56    |
|  Gen 38  | 54.67 | -73.60 | 0.54 |      61     |   72.89    |
|  Gen 39  | 46.67 | -73.40 | 0.54 |      44     |   80.44    |
|  Gen 40  | 50.67 | -80.53 | 0.52 |      58     |   74.22    |
|  Gen 41  | 49.78 | -65.50 | 0.54 |      46     |   79.56    |
|  Gen 42  | 48.89 | -73.20 | 0.53 |      51     |   77.33    |
|  Gen 43  | 50.22 | -73.00 | 0.53 |      55     |   75.11    |
|  Gen 44  | 50.67 | -72.10 | 0.53 |      55     |   75.56    |
|  Gen 45  | 50.67 | -74.80 | 0.53 |      52     |   76.00    |
|  Gen 46  | 50.67 | -68.87 | 0.53 |      50     |   77.33    |
|  Gen 47  | 49.33 | -71.50 | 0.53 |      43     |   80.89    |
|  Gen 48  | 51.11 | -75.77 | 0.52 |      48     |   78.67    |
|  Gen 49  | 49.33 | -58.60 | 0.55 |      53     |   76.00    |
|  Gen 50  | 50.67 | -76.73 | 0.52 |      46     |   79.56    |
| Best GC  | 54.67 | -73.60 | 0.54 |      61     |   72.89    |
| Best MFE | 49.33 | -87.80 | 0.55 |      56     |   75.11    |
| Best CAI | 52.44 | -67.67 | 0.61 |      49     |   78.22    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
