+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 50.67 | -85.77 | 0.62 |      46     |   79.11    |
|  Gen 2   | 54.22 | -77.03 | 0.59 |      58     |   74.22    |
|  Gen 3   | 47.11 | -77.70 | 0.57 |      47     |   78.67    |
|  Gen 4   | 51.56 | -75.10 | 0.58 |      58     |   74.22    |
|  Gen 5   | 50.67 | -83.00 | 0.56 |      53     |   76.00    |
|  Gen 6   | 51.56 | -73.80 | 0.57 |      51     |   77.33    |
|  Gen 7   | 50.22 | -74.90 | 0.56 |      57     |   74.22    |
|  Gen 8   | 51.56 | -84.83 | 0.55 |      48     |   78.67    |
|  Gen 9   | 49.78 | -77.53 | 0.55 |      53     |   76.44    |
|  Gen 10  | 51.56 | -78.70 | 0.55 |      44     |   80.00    |
|  Gen 11  | 50.67 | -80.30 | 0.55 |      51     |   77.33    |
|  Gen 12  | 49.33 | -80.40 | 0.54 |      44     |   80.44    |
|  Gen 13  | 53.78 | -82.00 | 0.54 |      52     |   76.89    |
|  Gen 14  | 51.11 | -70.80 | 0.56 |      47     |   79.11    |
|  Gen 15  | 50.22 | -74.10 | 0.55 |      46     |   79.11    |
|  Gen 16  | 48.89 | -71.70 | 0.55 |      57     |   73.78    |
|  Gen 17  | 48.00 | -70.67 | 0.55 |      56     |   75.11    |
|  Gen 18  | 52.00 | -73.70 | 0.55 |      50     |   77.33    |
|  Gen 19  | 47.56 | -79.70 | 0.54 |      52     |   76.00    |
|  Gen 20  | 50.67 | -69.10 | 0.55 |      49     |   78.22    |
|  Gen 21  | 48.00 | -77.13 | 0.54 |      47     |   78.67    |
|  Gen 22  | 50.22 | -76.47 | 0.54 |      52     |   76.89    |
|  Gen 23  | 50.67 | -73.30 | 0.54 |      46     |   79.11    |
|  Gen 24  | 47.56 | -73.20 | 0.54 |      46     |   79.56    |
|  Gen 25  | 50.22 | -77.87 | 0.53 |      46     |   79.56    |
|  Gen 26  | 52.00 | -81.67 | 0.52 |      55     |   75.56    |
|  Gen 27  | 48.89 | -72.53 | 0.53 |      48     |   78.22    |
|  Gen 28  | 48.00 | -69.83 | 0.54 |      48     |   78.67    |
|  Gen 29  | 48.89 | -75.63 | 0.53 |      53     |   76.44    |
|  Gen 30  | 50.67 | -72.90 | 0.53 |      56     |   75.11    |
|  Gen 31  | 49.78 | -72.70 | 0.53 |      51     |   77.33    |
|  Gen 32  | 50.67 | -69.00 | 0.54 |      52     |   76.89    |
|  Gen 33  | 49.78 | -68.70 | 0.54 |      52     |   76.89    |
|  Gen 34  | 50.67 | -77.27 | 0.52 |      50     |   77.78    |
|  Gen 35  | 48.89 | -73.03 | 0.53 |      45     |   79.56    |
|  Gen 36  | 52.00 | -68.20 | 0.53 |      48     |   78.22    |
|  Gen 37  | 52.44 | -71.77 | 0.53 |      57     |   74.22    |
|  Gen 38  | 49.33 | -71.50 | 0.52 |      56     |   75.11    |
|  Gen 39  | 46.22 | -69.67 | 0.53 |      52     |   76.44    |
|  Gen 40  | 49.78 | -71.63 | 0.52 |      54     |   75.56    |
|  Gen 41  | 48.89 | -70.40 | 0.52 |      47     |   78.67    |
|  Gen 42  | 51.11 | -73.10 | 0.52 |      60     |   72.89    |
|  Gen 43  | 50.22 | -70.10 | 0.52 |      58     |   73.78    |
|  Gen 44  | 52.44 | -78.80 | 0.51 |      60     |   73.33    |
|  Gen 45  | 50.67 | -71.17 | 0.52 |      60     |   72.89    |
|  Gen 46  | 49.78 | -71.17 | 0.52 |      57     |   74.22    |
|  Gen 47  | 48.89 | -68.30 | 0.52 |      53     |   76.44    |
|  Gen 48  | 49.33 | -74.17 | 0.51 |      50     |   77.33    |
|  Gen 49  | 51.56 | -76.67 | 0.51 |      59     |   72.44    |
|  Gen 50  | 48.44 | -71.40 | 0.52 |      46     |   79.11    |
| Best GC  | 54.22 | -77.03 | 0.59 |      58     |   74.22    |
| Best MFE | 50.67 | -85.77 | 0.62 |      46     |   79.11    |
| Best CAI | 50.67 | -85.77 | 0.62 |      46     |   79.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
