+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 52.44 | -81.50 | 0.61 |      56     |   75.11    |
|  Gen 2   | 49.78 | -81.97 | 0.59 |      50     |   77.78    |
|  Gen 3   | 52.89 | -86.33 | 0.58 |      47     |   79.11    |
|  Gen 4   | 52.44 | -71.00 | 0.60 |      55     |   75.56    |
|  Gen 5   | 52.00 | -76.50 | 0.57 |      44     |   80.44    |
|  Gen 6   | 52.00 | -74.47 | 0.58 |      61     |   72.89    |
|  Gen 7   | 49.33 | -69.20 | 0.58 |      50     |   77.78    |
|  Gen 8   | 52.44 | -70.77 | 0.58 |      48     |   78.67    |
|  Gen 9   | 51.11 | -72.73 | 0.57 |      59     |   73.78    |
|  Gen 10  | 51.56 | -68.70 | 0.57 |      50     |   77.78    |
|  Gen 11  | 51.11 | -83.67 | 0.55 |      54     |   75.56    |
|  Gen 12  | 50.22 | -74.00 | 0.56 |      53     |   76.00    |
|  Gen 13  | 50.67 | -80.30 | 0.55 |      47     |   79.11    |
|  Gen 14  | 51.11 | -77.40 | 0.55 |      49     |   78.22    |
|  Gen 15  | 50.67 | -69.93 | 0.56 |      53     |   76.44    |
|  Gen 16  | 50.67 | -86.30 | 0.53 |      39     |   82.22    |
|  Gen 17  | 50.67 | -73.30 | 0.55 |      55     |   75.11    |
|  Gen 18  | 49.33 | -72.90 | 0.54 |      55     |   75.56    |
|  Gen 19  | 49.33 | -73.10 | 0.54 |      48     |   78.67    |
|  Gen 20  | 51.11 | -78.23 | 0.53 |      52     |   76.89    |
|  Gen 21  | 49.33 | -73.10 | 0.54 |      52     |   76.89    |
|  Gen 22  | 53.78 | -86.60 | 0.51 |      54     |   75.56    |
|  Gen 23  | 51.11 | -78.50 | 0.53 |      46     |   79.56    |
|  Gen 24  | 51.11 | -72.40 | 0.54 |      46     |   79.11    |
|  Gen 25  | 50.22 | -73.40 | 0.53 |      56     |   74.67    |
|  Gen 26  | 50.22 | -69.97 | 0.54 |      51     |   77.33    |
|  Gen 27  | 50.22 | -78.60 | 0.52 |      52     |   76.44    |
|  Gen 28  | 51.56 | -74.30 | 0.53 |      58     |   74.22    |
|  Gen 29  | 49.33 | -79.50 | 0.52 |      47     |   79.11    |
|  Gen 30  | 52.00 | -77.90 | 0.52 |      52     |   76.44    |
|  Gen 31  | 49.33 | -66.80 | 0.54 |      52     |   76.89    |
|  Gen 32  | 48.89 | -75.03 | 0.52 |      50     |   77.78    |
|  Gen 33  | 49.33 | -73.20 | 0.53 |      53     |   76.44    |
|  Gen 34  | 47.11 | -72.70 | 0.52 |      48     |   78.67    |
|  Gen 35  | 50.22 | -74.30 | 0.52 |      44     |   80.00    |
|  Gen 36  | 46.67 | -72.43 | 0.52 |      53     |   76.00    |
|  Gen 37  | 48.44 | -78.80 | 0.51 |      47     |   79.11    |
|  Gen 38  | 49.33 | -83.10 | 0.51 |      58     |   74.22    |
|  Gen 39  | 48.44 | -73.37 | 0.52 |      53     |   76.00    |
|  Gen 40  | 51.11 | -71.97 | 0.52 |      51     |   77.33    |
|  Gen 41  | 48.89 | -67.23 | 0.52 |      56     |   74.67    |
|  Gen 42  | 50.22 | -71.70 | 0.51 |      52     |   76.44    |
|  Gen 43  | 50.67 | -77.57 | 0.51 |      57     |   74.67    |
|  Gen 44  | 47.11 | -66.50 | 0.52 |      50     |   77.78    |
|  Gen 45  | 49.78 | -81.47 | 0.50 |      60     |   73.33    |
|  Gen 46  | 51.56 | -70.50 | 0.51 |      51     |   76.89    |
|  Gen 47  | 49.33 | -68.20 | 0.52 |      52     |   76.44    |
|  Gen 48  | 49.33 | -72.30 | 0.51 |      48     |   78.67    |
|  Gen 49  | 47.11 | -67.50 | 0.52 |      50     |   77.78    |
|  Gen 50  | 48.00 | -74.80 | 0.50 |      49     |   78.22    |
| Best GC  | 53.78 | -86.60 | 0.51 |      54     |   75.56    |
| Best MFE | 53.78 | -86.60 | 0.51 |      54     |   75.56    |
| Best CAI | 52.44 | -81.50 | 0.61 |      56     |   75.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
